G,R,X,Y,GR,UID,TR,qw,qb,X_count,Y_count,Y_count_resolve,First 200,,,,,,MW,MB,FW,FB
F,B,1.764666585,1.314792768,FB,92,B,0,1,1.764666585,1.314792768,1.314792768,1,,Y_count,Y_count_resolve,,,0,0,0,1
F,W,1.537999864,1.126203441,FW,1074,W,0,0,1.537999864,1.019055207,1.019055207,0,MW,-1.055390882,-0.213351407,,,0,0,1,0
F,W,1.435150934,1.122753578,FW,1743,W,0,0,1.435150934,1.015605344,1.015605344,0,MB,-1.066664062,-0.224624587,,,0,0,1,0
M,B,2.449039763,1.834607987,MB,1245,B,0,1,1.420623044,0.848143773,1.690183248,0,FW,-1.021308433,-1.021308433,,,0,1,0,0
F,W,1.064780266,0.940401908,FW,1852,W,0,0,1.064780266,0.833253674,0.833253674,0,FB,-1.06292609,-1.06292609,,,0,0,1,0
F,W,1.142682491,0.920090719,FW,1571,W,0,0,1.142682491,0.812942485,0.812942485,0,,,,,,0,0,1,0
F,B,1.579931927,0.809585361,FB,16,B,0,1,1.579931927,0.809585361,0.809585361,1,,64,37,67,32,0,0,0,1
F,W,1.280175337,0.895364078,FW,18,W,0,0,1.280175337,0.788215844,0.788215844,1,,7.90E+01,4.30E+01,4.70E+01,3.10E+01,0,0,1,0
F,W,1.050581044,0.876709415,FW,509,W,0,0,1.050581044,0.769561181,0.769561181,0,,8.10E-01,8.60E-01,1.43E+00,1.03E+00,0,0,1,0
F,B,1.467882617,0.764794079,FB,213,B,0,1,1.467882617,0.764794079,0.764794079,0,,,,,,0,0,0,1
F,W,1.141024047,0.858472146,FW,1909,W,0,0,1.141024047,0.751323912,0.751323912,0,,795,465,465,275,0,0,1,0
F,W,1.109668133,0.846880729,FW,890,W,0,0,1.109668133,0.739732495,0.739732495,0,,,,,,0,0,1,0
F,W,1.223790899,0.842684452,FW,1050,W,0,0,1.223790899,0.735536218,0.735536218,0,,,,,,0,0,1,0
F,W,0.964215622,0.816850804,FW,1124,W,0,0,0.964215622,0.70970257,0.70970257,0,,,,,,0,0,1,0
M,W,2.048751892,1.768003123,MW,154,W,0,0,1.020335173,0.705919688,1.547959164,1,,,,,,1,0,0,0
F,W,0.919207271,0.78812188,FW,1662,W,0,0,0.919207271,0.680973645,0.680973645,0,,,,,,0,0,1,0
F,W,1.26828079,0.781199772,FW,783,W,0,0,1.26828079,0.674051538,0.674051538,0,,,,,,0,0,1,0
F,W,1.046058225,0.745355152,FW,1795,W,0,0,1.046058225,0.638206918,0.638206918,0,,,,,,0,0,1,0
M,B,1.945151557,1.5887781,MB,135,B,0,1,0.916734838,0.602313886,1.444353361,1,,,,,,0,1,0,0
F,W,0.933463165,0.69734851,FW,1221,W,0,0,0.933463165,0.590200276,0.590200276,0,,,,,,0,0,1,0
F,B,1.325600933,0.578287742,FB,980,B,0,1,1.325600933,0.578287742,0.578287742,0,,,,,,0,0,0,1
F,W,1.027844292,0.68061986,FW,1702,W,0,0,1.027844292,0.573471626,0.573471626,0,,,,,,0,0,1,0
F,W,0.883944469,0.680293784,FW,1251,W,0,0,0.883944469,0.57314555,0.57314555,0,,,,,,0,0,1,0
