G,R,X,Y,GR,UID,TR,qw,qb,X_count,Y_count,Y_count_resolve
F,W,-1.6463547541473162,-1.3584198844249529,FW,1,W,0,0,-1.6463547541473162,-1.4504576987210855,-1.4504576987210855
M,B,0.14693190296096031,0.09065900388388434,MB,2,B,0,1,-0.8115275174965799,-0.768466957789462,-0.034373471669402994
M,W,-0.4682279988249037,-0.2912616563428567,MW,3,W,0,0,-1.426687419282444,-1.2348975059901546,-0.5008040198700956
F,W,-2.079545422693124,-1.7131529050304073,FW,4,W,0,0,-2.079545422693124,-1.80519071932654,-1.80519071932654
M,B,1.1296779888071509,1.2061190859565372,MB,5,B,0,1,0.1712185683496107,0.34699312428319073,1.0810866104032497
F,B,-2.9954880729486284,-2.686792912121879,FB,6,B,0,1,-2.9954880729486284,-2.686792912121879,-2.686792912121879
F,W,1.7875653967188834,1.304419926434016,FW,7,W,0,0,1.7875653967188834,1.2123821121378833,1.2123821121378833
M,W,1.0268140628733171,0.8318854441950864,MW,8,W,0,0,0.06835464241577693,-0.11175040545221149,0.6223430806678475
M,W,-0.4463460993942889,-0.442394795726785,MW,9,W,0,0,-1.404805519851829,-1.386030645374083,-0.6519371592540238
M,B,0.2697974432149369,0.1432106609278323,MB,10,B,0,1,-0.6886619772426033,-0.715915300745514,0.018178185374544964
F,B,0.08805357294548055,0.06599165877491686,FB,11,B,0,1,0.08805357294548055,0.06599165877491686,0.06599165877491686
F,W,-1.337321580950563,-1.140525658065083,FW,12,W,0,0,-1.337321580950563,-1.2325634723612158,-1.2325634723612158
F,W,-1.3209448134921664,-1.1890952212895003,FW,13,W,0,0,-1.3209448134921664,-1.281133035585633,-1.281133035585633
M,B,-0.2614287838908965,-0.2087628150479517,MB,14,B,0,1,-1.2198882043484367,-1.067888776721298,-0.333795290601239
F,W,0.38441838234722536,0.13277561249286207,FW,15,W,0,0,0.38441838234722536,0.040737798196729375,0.040737798196729375
F,W,-0.6513316375294942,-0.3930796550481688,FW,16,W,0,0,-0.6513316375294942,-0.48511746934430144,-0.48511746934430144
M,W,-1.5588179749594864,-1.0918630958515945,MW,17,W,0,0,-2.5172773954170267,-2.035498945498892,-1.3014054593788333
F,B,-0.17774341717668052,-0.2378245935406472,FB,18,B,0,1,-0.17774341717668052,-0.2378245935406472,-0.2378245935406472
M,B,0.8666127039308867,0.6536315058663628,MB,19,B,0,1,-0.09184671652665344,-0.20549445580698356,0.5285990303130754
F,W,0.08873850803202621,-0.06711495897952098,FW,20,W,0,0,0.08873850803202621,-0.1591527732756537,-0.1591527732756537
M,B,0.827926163670562,0.375636821778352,MB,21,B,0,1,-0.13053325678697814,-0.4834891398949943,0.25060434622506467
M,W,0.3779766898054234,0.30441242485376874,MW,22,W,0,0,-0.5804827306521168,-0.6392234247935291,0.09487006132652986
M,W,-0.3173761765007725,-0.32623472873725085,MW,23,W,0,0,-1.2758355969583126,-1.2698705783845488,-0.5357770922644898
M,W,-0.9573998719485011,-0.8070866135207202,MW,24,W,0,0,-1.9158592924060414,-1.750722463168018,-1.016628977047959
F,B,-1.6155437914434196,-1.754053015785012,FB,25,B,0,1,-1.6155437914434196,-1.754053015785012,-1.754053015785012
F,W,-1.084654329432963,-1.1177240193031353,FW,26,W,0,0,-1.084654329432963,-1.209761833599268,-1.209761833599268
M,B,-1.0187715110127824,-0.8518307619109032,MB,27,B,0,1,-1.9772309314703227,-1.7109567235842496,-0.9768632374641906
M,W,-0.5641836218840982,-0.5048430520090653,MW,28,W,0,0,-1.5226430423416384,-1.448478901656363,-0.7143854155363042
M,B,0.8237407735961642,0.6279083362678346,MB,29,B,0,1,-0.13471864686137602,-0.23121762540551172,0.5028758607145473
M,W,0.4207312472227066,0.2649892212088523,MW,30,W,0,0,-0.5377281732348336,-0.6786466284384456,0.05544685768161345
F,B,-0.9727901545931442,-0.9108936264254964,FB,31,B,0,1,-0.9727901545931442,-0.9108936264254964,-0.9108936264254964
M,W,1.6369475392417734,1.1587003924191583,MW,32,W,0,0,0.6784881187842332,0.2150645427718605,0.9491580288919195
F,W,-2.1989972522154977,-1.6652775485944706,FW,33,W,0,0,-2.1989972522154977,-1.7573153628906033,-1.7573153628906033
M,W,0.5899925786919945,0.5139132246500117,MW,34,W,0,0,-0.36846684176554567,-0.4297226249972862,0.3043708611227728
M,B,0.7393021072333672,0.5881393323728834,MB,35,B,0,1,-0.21915731322417298,-0.2709866293004629,0.46310685681959607
M,W,0.03368900261410047,0.15563553542111747,MW,36,W,0,0,-0.9247704178434397,-0.7880003142261804,-0.05390682810612141
M,W,-0.4820489558675588,-0.3095705451239815,MW,37,W,0,0,-1.440508376325099,-1.2532063947712793,-0.5191129086512204
M,B,-0.3138732953749865,-0.3666295059130776,MB,38,B,0,1,-1.2723327158325266,-1.225755467586424,-0.4916619814663649
F,W,-0.5692180984159632,-0.6174156699880924,FW,39,W,0,0,-0.5692180984159632,-0.709453484284225,-0.709453484284225
M,W,-1.4218232113412652,-1.237212385886489,MW,40,W,0,0,-2.3802826317988055,-2.180848235533787,-1.4467547494137278
M,W,0.2543767581739494,0.15471667800933414,MW,41,W,0,0,-0.7040826622835907,-0.7889191716379638,-0.05482568551790473
F,W,-0.2038046801835076,-0.22334994851396786,FW,42,W,0,0,-0.2038046801835076,-0.31538776281010056,-0.31538776281010056
M,W,1.151839990086289,0.8135937808725763,MW,43,W,0,0,0.19338056962874883,-0.13004206877472158,0.6040514173453374
M,W,0.0035135648783684898,0.21050893107666566,MW,44,W,0,0,-0.9549458555791717,-0.7331269185706322,0.0009665675494267834
F,W,-0.1915855577126816,-0.3432570591081673,FW,45,W,0,0,-0.1915855577126816,-0.43529487340429995,-0.43529487340429995
F,W,-1.5140657773429136,-1.4632024303579283,FW,46,W,0,0,-1.5140657773429136,-1.555240244654061,-1.555240244654061
M,W,0.8573795179057989,0.6134971306600059,MW,47,W,0,0,-0.10107990255174126,-0.33013871898729197,0.403954767132767
M,W,-0.3919466016679657,-0.24365039959846266,MW,48,W,0,0,-1.3504060221255059,-1.1872862492457605,-0.45319276312570156
M,W,-0.2906062551212516,-0.2719515232266011,MW,49,W,0,0,-1.249065675578792,-1.215587372873899,-0.48149388675384
M,W,0.5466863375638691,0.4951785919789395,MW,50,W,0,0,-0.4117730828936711,-0.44845725766835837,0.2856362284517006
F,W,-1.0015021791894647,-0.7615239274603204,FW,51,W,0,0,-1.0015021791894647,-0.853561741756453,-0.853561741756453
M,W,-1.0433528884415382,-0.9833644530160984,MW,52,W,0,0,-2.0018123088990785,-1.9270003026633962,-1.1929068165433372
M,W,0.4933127413612724,0.3219250607788656,MW,53,W,0,0,-0.4651466790962678,-0.6217107888684322,0.11238269725162675
M,W,0.6119493888901149,0.3768564487542619,MW,54,W,0,0,-0.3465100315674253,-0.566779400893036,0.167314085227023
M,B,-0.5342268462259516,-0.8072076049202309,MB,55,B,0,1,-1.4926862666834917,-1.6663335665935772,-0.9322400804735183
F,W,-1.1754079120390812,-1.1304276658667949,FW,56,W,0,0,-1.1754079120390812,-1.2224654801629276,-1.2224654801629276
M,W,-1.9986401093230504,-1.4678974051875835,MW,57,W,0,0,-2.9570995297805904,-2.4115332548348816,-1.6774397687148224
F,B,-0.10081031529280704,-0.2060969777659341,FB,58,B,0,1,-0.10081031529280704,-0.2060969777659341,-0.2060969777659341
M,W,-1.0584858646984716,-0.8681001867519688,MW,59,W,0,0,-2.016945285156012,-1.8117360363992665,-1.0776425502792075
F,B,-2.8752515106857977,-2.495758008823669,FB,60,B,0,1,-2.8752515106857977,-2.495758008823669,-2.495758008823669
F,W,-1.8692666439087504,-1.5628965886595263,FW,61,W,0,0,-1.8692666439087504,-1.654934402955659,-1.654934402955659
M,W,-0.2299548736687421,-0.2611422508342311,MW,62,W,0,0,-1.1884142941262823,-1.204778100481529,-0.47068461436146997
M,B,0.3984851593264953,0.17040197052031056,MB,63,B,0,1,-0.5599742611310449,-0.6887239911530357,0.04536949496702322
M,W,0.1361626964013722,-0.045193840137922665,MW,64,W,0,0,-0.8222967240561679,-0.9888296897852205,-0.25473620366516153
M,B,-0.8277008331162249,-0.6774647518350849,MB,65,B,0,1,-1.786160253573765,-1.5365907135084313,-0.8024972273883723
M,W,-0.3525684970847619,-0.21056385435860814,MW,66,W,0,0,-1.311027917542302,-1.154199704005906,-0.420106217885847
M,B,0.14803534662062393,0.3841777507112297,MB,67,B,0,1,-0.8104240738369163,-0.4749482109621166,0.2591452751579424
M,W,0.9134426224524391,0.8005662895642924,MW,68,W,0,0,-0.045016798005101055,-0.14306956008300542,0.5910239260370536
M,B,0.3652897313253393,0.013244925552165332,MB,69,B,0,1,-0.5931696891322009,-0.845881036121181,-0.111787550001122
M,W,0.2944397920969433,0.1971942142585959,MW,70,W,0,0,-0.6640196283605968,-0.746441635388702,-0.012348149268642972
M,W,-0.1788758974801586,-0.05326792920632345,MW,71,W,0,0,-1.1373353179376988,-0.9969037788536212,-0.2628102927335623
F,W,-1.4164590227586369,-1.3943745021869165,FW,72,W,0,0,-1.4164590227586369,-1.4864123164830492,-1.4864123164830492
M,W,0.2538524971672897,0.18943524693482028,MW,73,W,0,0,-0.7046069232902505,-0.7542006027124776,-0.020107116592418595
M,W,0.2895342155858833,0.2939370801962153,MW,74,W,0,0,-0.6689252048716569,-0.6496987694510825,0.08439471666897641
M,W,-0.4931895187513025,-0.46563625346169607,MW,75,W,0,0,-1.4516489392088427,-1.4092721031089939,-0.6751786169889349
M,W,-0.9016474872142344,-0.8318696836117954,MW,76,W,0,0,-1.8601069076717747,-1.7755055332590932,-1.0414120471390342
M,W,-0.34249622502880395,-0.22545350174633644,MW,77,W,0,0,-1.300955645486344,-1.1690893513936342,-0.4349958652735753
F,W,-0.4666053334141108,-0.4243282963299348,FW,78,W,0,0,-0.4666053334141108,-0.5163661106260675,-0.5163661106260675
F,B,-1.597935802104007,-1.4690101630372479,FB,79,B,0,1,-1.597935802104007,-1.4690101630372479,-1.4690101630372479
M,B,0.1944751021193539,-0.04101727344988962,MB,80,B,0,1,-0.7639843183381863,-0.9001432351232359,-0.16604974900317696
M,W,-0.3711978580757997,-0.35852049306303946,MW,81,W,0,0,-1.3296572785333398,-1.3021563427103373,-0.5680628565902783
M,W,-0.7296620542779613,-0.6127826475671234,MW,82,W,0,0,-1.6881214747355013,-1.5564184972144213,-0.8223250110943623
F,W,-0.5536513096422218,-0.5556446340397779,FW,83,W,0,0,-0.5536513096422218,-0.6476824483359106,-0.6476824483359106
M,B,-0.7170242747742362,-0.6885110477181847,MB,84,B,0,1,-1.6754836952317764,-1.547637009391531,-0.8135435232714721
M,B,-0.5548753764240716,-0.5792259644908413,MB,85,B,0,1,-1.5133347968816118,-1.4383519261641875,-0.7042584400441286
