G,R,X,Y,GR,UID,WrongR,qw,qb,X_count,Y_count,Y_count_resolve
F,W,-3.6596777473747713,-3.0696620587491883,FW,1,W,-1,-1,-3.6596777473747713,-3.329713657371756,-3.329713657371756
M,B,0.2276093362874001,-0.009419270596175894,MB,2,B,-1,-1,-2.7322819350222805,-7.377227538190172,-0.39005623187316185
M,W,-0.4854697156916857,-0.26845141697806074,MW,3,W,-1,-1,-3.445360987001366,-7.874183971607126,-0.8870126652901157
M,W,-0.21280043567025106,-0.09446469458064917,MW,4,W,-1,-1,-3.1726917069799314,-7.700197249209714,-0.7130259428927042
M,W,0.029485700360580912,-0.05202889749240286,MW,5,B,-1,-1,-2.9304055709490995,-7.419837165086399,-0.4326658587693888
M,W,-0.8562057010366313,-0.6969053921065816,MW,6,W,-1,-1,-3.816096972346312,-8.302637946735647,-1.3154666404186366
M,B,0.6609459168203999,0.4447156048153104,MB,7,W,-1,-1,-2.2989453544892804,-7.161016949813755,-0.17384564349674453
M,B,-0.3327537317685742,-0.5401918856536172,MB,8,B,-1,-1,-3.2926450030782544,-7.908000153247613,-0.9208288469306032
M,W,0.519568694644415,0.4469095401835225,MW,9,B,-1,-1,-2.4403225766652654,-6.920898727410473,0.0662725789065366
M,B,0.0379180006607648,-0.16775831837709776,MB,10,B,-1,-1,-2.9219732706489157,-7.535566585971093,-0.5483952796540836
F,W,-2.8753337522863136,-2.561743256828545,FW,11,B,-1,-1,-2.8753337522863136,-2.561743256828545,-2.561743256828545
F,W,-2.2530685458775093,-2.0324656222526625,FW,12,W,-1,-1,-2.2530685458775093,-2.2925172208752302,-2.2925172208752302
M,W,-0.539778419853661,-0.34407486359248485,MW,13,B,-1,-1,-3.4996696911633416,-7.711883131186481,-0.7247118248694708
M,W,-0.1848143651480703,-0.08162131112245749,MW,14,W,-1,-1,-3.1447056364577506,-7.687353865751523,-0.7001825594345125
M,W,-0.14907791447119062,-0.2382653094133546,MW,15,W,-1,-1,-3.108969185780871,-7.84399786404242,-0.8568265577254095
M,B,-0.1050850710771477,-0.2591898629081504,MB,16,B,-1,-1,-3.064976342386828,-7.626998130502146,-0.6398268241851364
M,W,1.6542522000662296,1.3284268064850542,MW,17,B,-1,-1,-1.3056390712434507,-6.039381461108942,0.9477898452080682
M,B,-0.5945807989850297,-0.543547295629052,MB,18,B,-1,-1,-3.55447207029471,-7.911355563223048,-0.9241842569060379
M,B,1.7432877535521587,1.2691070947585237,MB,19,W,-1,-1,-1.2166035177575216,-6.336625459870541,0.6505458464464687
