G,R,X,Y,GR,UID,TR,qw,qb,X_count,Y_count,Y_count_resolve
M,W,-0.054591358123748004,-0.04826519020324327,MW,1,W,0,0,-1.0533482552285567,-1.0416876499427972,-0.241424428262961
M,W,0.013493526181769131,0.008015559689016773,MW,2,W,0,0,-0.9852633709230395,-0.9871340052871505,-0.1868707836073143
M,B,-0.02721604503387406,-0.10396229811146436,MB,3,B,0,1,-1.0259729421386827,-0.9401743841270694,-0.13991116244723328
M,B,0.04014703499633086,-0.04257132588355636,MB,4,B,0,1,-0.9586098621084778,-0.8861990918377073,-0.08593587015787116
M,W,0.0453173110905526,0.035911869515222204,MW,5,W,0,0,-0.953439586014256,-0.961634902641678,-0.1613716809618417
F,W,-0.9956283007378126,-0.9248004646713552,FW,6,W,0,0,-0.9956283007378126,-0.8777432609031653,-0.8777432609031653
F,W,-0.98864334038232,-0.9144722019187176,FW,7,W,0,0,-0.98864334038232,-0.8721464966719534,-0.8721464966719534
M,W,0.04500451211381427,0.03437646515088117,MW,8,W,0,0,-0.9537523849909944,-0.9618855357212475,-0.16162231404141134
F,B,-1.0812575825909907,-1.0610065325033229,FB,9,B,0,1,-1.0812575825909907,-0.866367660657281,-0.866367660657281
M,W,-0.027847030484735125,-0.02724755482904527,MW,10,W,0,0,-1.0266039275895438,-1.0202585095182364,-0.21999528783840025
M,W,-0.05221226795803936,-0.046204163603694885,MW,11,W,0,0,-1.050969165062848,-1.039781381894791,-0.23951816021495473
M,W,0.02200013553951768,0.023094500648757,MW,12,W,0,0,-0.976756761565291,-0.9803180056881116,-0.1800547840082754
M,W,-0.00947469468230482,-0.01892073325204206,MW,13,W,0,0,-1.0082315917871134,-1.0055375051560569,-0.20527428347622084
M,B,-0.024681934241536398,-0.11033030479879116,MB,14,B,0,1,-1.023438831346345,-0.9381439043650288,-0.13788068268519268
M,B,0.06145070379236714,-0.03652908986617312,MB,15,B,0,1,-0.9373061933124415,-0.8691293297427106,-0.06886610806287444
M,B,-0.03137819561891533,-0.10956534726565692,MB,16,B,0,1,-1.030135092723724,-0.9435093458639617,-0.14324612418412552
M,W,-0.00390862079100744,-0.0013981744112320097,MW,17,W,0,0,-1.0026655178958161,-1.001077636856504,-0.20081441517666782
F,W,-0.9934667211211226,-0.918815001969029,FW,18,W,0,0,-0.9934667211211226,-0.876011275198752,-0.876011275198752
M,W,0.07563391388535066,0.0665702156782431,MW,19,W,0,0,-0.923122983219458,-0.937343443635706,-0.13708022195586994
M,B,-0.02403276928599617,-0.09401540725449026,MB,20,B,0,1,-1.0227896663908047,-0.9376237549270342,-0.1373605332471981
M,B,0.030799458733349463,-0.05838219843205498,MB,21,B,0,1,-0.9679574383714592,-0.8936889239648205,-0.09342570228498431
M,W,0.008070099333828216,0.006334347824497572,MW,22,W,0,0,-0.9906867977709805,-0.9914795763209621,-0.1912163546411258
F,W,-0.9958731114121928,-0.9177286824520898,FW,23,W,0,0,-0.9958731114121928,-0.87793941772526,-0.87793941772526
