G,R,X,Y,GR,UID,TR,qw,qb,X_count,Y_count,Y_count_resolve
M,B,-0.02696411114443733,-0.1020062211899419,MB,1,B,0,1,-1.0281952741172107,-1.0240652435306707,-0.22000116013018062
F,W,-0.9889870268276512,-0.9094699417595254,FW,2,W,0,0,-0.9889870268276512,-0.9895908791356585,-0.9895908791356585
M,B,-0.026671251664854862,-0.10209273682107918,MB,3,B,0,1,-1.027902414637628,-1.0241517591618081,-0.2200876757613179
F,W,-1.053977755902278,-0.957862004002145,FW,4,W,0,0,-1.053977755902278,-1.037982941378278,-1.037982941378278
M,B,-0.0568718540651617,-0.12594700522026692,MB,5,B,0,1,-1.0581030170379349,-1.0480060275609957,-0.24394194416050563
M,B,-0.005700829255261738,-0.08562719261001837,MB,6,B,0,1,-1.006931992228035,-1.0076862149507473,-0.2036221315502571
M,W,-0.006215132111918593,-0.002964656780669331,MW,7,W,0,0,-1.0074462950846919,-1.0049599057262995,-0.20089582232580933
F,W,-1.0668209032335745,-0.9688555385497608,FW,8,W,0,0,-1.0668209032335745,-1.0489764759258937,-1.0489764759258937
F,W,-1.0055502414943005,-0.9309597929155874,FW,9,W,0,0,-1.0055502414943005,-1.0110807302917204,-1.0110807302917204
M,B,0.012900687166797962,-0.059925112598765484,MB,10,B,0,1,-0.9883304758059753,-0.9819841349394944,-0.1779200515390042
M,W,-0.010823360156228987,-0.01045341370260274,MW,11,W,0,0,-1.0120545231290023,-1.012448662648233,-0.20838457924774276
M,B,0.017523731880694497,-0.06370545502816664,MB,12,B,0,1,-0.9837074310920788,-0.9857644773688956,-0.18170039396840537
M,W,-0.008867578857399975,-0.008827716440867609,MW,13,W,0,0,-1.0100987418301732,-1.0108229653864977,-0.20675888198600761
F,W,-0.992983097145552,-0.9127702931034486,FW,14,W,0,0,-0.992983097145552,-0.9928912304795816,-0.9928912304795816
M,B,-0.04930923594106673,-0.11938441354816826,MB,15,B,0,1,-1.05054039891384,-1.041443435888897,-0.23737935248840697
F,W,-1.030396122248077,-0.948819939537888,FW,16,W,0,0,-1.030396122248077,-1.028940876914021,-1.028940876914021
M,B,0.059222712833077125,-0.03249113078519341,MB,17,B,0,1,-0.9420084501396961,-0.9545501531259223,-0.15048606972543213
F,B,-1.0164893380560616,-1.0124789501191245,FB,18,B,0,1,-1.0164893380560616,-1.0124789501191245,-1.0124789501191245
F,W,-0.9691051889409721,-0.8956493514207549,FW,19,W,0,0,-0.9691051889409721,-0.9757702887968879,-0.9757702887968879
M,W,-0.01961292536901059,-0.014960667404107019,MW,20,W,0,0,-1.0208440883417838,-1.0169559163497373,-0.21289183294924702
F,B,-1.0123351370160638,-1.005076106020686,FB,21,B,0,1,-1.0123351370160638,-1.005076106020686,-1.005076106020686
M,W,-0.04222812627215488,-0.04846941044650237,MW,22,W,0,0,-1.0434592892449281,-1.0504646593921325,-0.2464005759916424
M,W,-0.014954356695011913,-0.015371733418804122,MW,23,W,0,0,-1.0161855196677851,-1.0173669823644342,-0.21330289896394414
M,W,-0.03376744860583827,-0.033831376209008085,MW,24,W,0,0,-1.0349986115786116,-1.0358266251546382,-0.2317625417541481
M,W,-0.028226107509382675,-0.02161751436533609,MW,25,W,0,0,-1.0294572704821559,-1.0236127633109664,-0.2195486799104761
M,W,0.003357609701755809,0.009234895229190894,MW,26,W,0,0,-0.9978735532710175,-0.9927603537164393,-0.18869627031594913
M,B,-0.02959896434912265,-0.10866577186628294,MB,27,B,0,1,-1.0308301273218958,-1.030724794207012,-0.22666071080652167
M,W,0.003627806765472341,-0.000518959730765961,MW,28,W,0,0,-0.9976033562073009,-1.002514208676396,-0.19845012527590597
F,B,-0.9609300776555992,-0.9721479412252666,FB,29,B,0,1,-0.9609300776555992,-0.9721479412252666,-0.9721479412252666
M,W,-0.003971100409352499,-0.003097915542593307,MW,30,W,0,0,-1.0052022633821258,-1.0050931644882235,-0.20102908108773332
M,B,0.05608010970675178,-0.036192903594589695,MB,31,B,0,1,-0.9451510532660214,-0.9582519259353186,-0.15418784253482842
M,B,0.03577345597951604,-0.042981537287182785,MB,32,B,0,1,-0.9654577069932572,-0.9650405596279117,-0.1609764762274215
F,B,-1.010590694927041,-1.0074371853477226,FB,33,B,0,1,-1.010590694927041,-1.0074371853477226,-1.0074371853477226
M,B,0.060035263119560124,-0.028358082758363205,MB,34,B,0,1,-0.9411958998532132,-0.9504171050990922,-0.14635302169860193
M,B,0.013812756711532294,-0.06361437755864291,MB,35,B,0,1,-0.987418406261241,-0.9856733998993719,-0.18160931649888162
M,B,-0.00768710293878565,-0.08559964938747949,MB,36,B,0,1,-1.008918265911559,-1.0076586717282083,-0.2035945883277182
F,B,-1.0466414470349883,-1.0392819956092365,FB,37,B,0,1,-1.0466414470349883,-1.0392819956092365,-1.0392819956092365
M,W,-0.00863541495979283,-0.0019162991598326406,MW,38,W,0,0,-1.0098665779325662,-1.0039115481054628,-0.19984746470497264
M,W,0.021018610394981308,0.006103457924855535,MW,39,W,0,0,-0.9802125525777919,-0.9958917910207746,-0.19182770762028448
M,W,-0.03659425751428557,-0.030166021837125526,MW,40,W,0,0,-1.0378254204870587,-1.0321612707827557,-0.22809718738226553
F,B,-0.9933724924004111,-0.9892109737009804,FB,41,B,0,1,-0.9933724924004111,-0.9892109737009804,-0.9892109737009804
F,W,-1.070033163522517,-0.9737238345373808,FW,42,W,0,0,-1.070033163522517,-1.0538447719135138,-1.0538447719135138
F,B,-0.951593461132712,-0.9569162800366202,FB,43,B,0,1,-0.951593461132712,-0.9569162800366202,-0.9569162800366202
F,W,-0.9782385144903284,-0.9068676478988889,FW,44,W,0,0,-0.9782385144903284,-0.9869885852750219,-0.9869885852750219
F,W,-1.0159553429143668,-0.940487547402051,FW,45,W,0,0,-1.0159553429143668,-1.020608484778184,-1.020608484778184
