G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
M,W,0.00842740448363404,0.0037465776390976334,MW,1,-0.7913837310022029,-0.9130976053080972,-0.2744091604322447
M,W,-0.006637210625028615,-0.004303438930842271,MW,2,-0.8064483461108656,-0.9251274398146654,-0.2864389949388129
M,B,0.0942942821807938,-0.08313150633200984,MB,3,-0.8048802229381545,-0.7640780189184232,-0.04604304682768398
F,W,-0.8952335533921666,-0.8372001495241679,FW,4,-0.7945716517776554,-0.7942996714465973,-0.8746831401780809
F,W,-0.910221453599037,-0.8506400889184289,FW,5,-0.8095595519845258,-0.8062682453390647,-0.8866517140705483
F,W,-0.9008582890824433,-0.8394783420741315,FW,6,-0.8001963874679321,-0.7987912989464798,-0.8791747676779635
F,W,-0.9045932168469264,-0.8421126293365785,FW,7,-0.8039313152324152,-0.8017738220694823,-0.8821572908009659
M,B,0.10687007741886904,-0.07585161239971586,MB,8,-0.7923044277000794,-0.7540356292250059,-0.0360006571342666
M,W,0.0033239943034951923,0.003465995710776299,MW,9,-0.7964871411823418,-0.9171729288024826,-0.2784844839266301
M,B,0.10981207414003848,-0.07253068125674612,MB,10,-0.7893624309789099,-0.7516863004556181,-0.033651328364878844
M,B,0.10654941987183768,-0.07485219767464353,MB,11,-0.7926250852471107,-0.7542916900135653,-0.0362567179228261
M,W,-0.005278774999845919,-0.008144573784683182,MW,12,-0.8050899104856829,-0.9240426622985523,-0.2853542174226999
F,W,-0.9002115831118921,-0.8404039542311629,FW,13,-0.7995496814973809,-0.798274872489911,-0.8786583412213946
F,B,-0.8195803901558412,-0.9358111020617874,FB,14,-0.8195803901558412,-0.6544751649668022,-0.6544751649668022
M,B,0.09634227536076843,-0.08202761106018541,MB,15,-0.8028322297581799,-0.7624425958526518,-0.044407623761912596
F,W,-0.9059554920250292,-0.8475957566296057,FW,16,-0.8052935904105181,-0.80286166565704,-0.8832451343885237
F,B,-0.8105396537434719,-0.930730148119834,FB,17,-0.8105396537434719,-0.6472556932395912,-0.6472556932395912
M,W,-0.0020295608828216198,-0.004513342485993589,MW,18,-0.8018406963686585,-0.9214480053609362,-0.2827595604850838
F,W,-0.907753599985251,-0.8472538271000188,FW,19,-0.8070916983707398,-0.8042975431109534,-0.884681011842437
M,W,0.013710430568357707,0.011251574328500932,MW,20,-0.7861007049174792,-0.9088788496986981,-0.2701904048228457
F,W,-0.91278144764659,-0.8477707602662379,FW,21,-0.8121195460320788,-0.8083125262256141,-0.8886959949570977
F,W,-0.9086438790280716,-0.8472860827261071,FW,22,-0.8079819774135605,-0.8050084746198267,-0.8853919433513103
M,W,-0.0016680938935359337,-0.0003278038832250712,MW,23,-0.8014792293793729,-0.9211593562298879,-0.2824709113540354
