G,R,X,Y,GR,UID
F,B,-2.6980871946470257,-2.506668635273561,FB,1
M,W,0.08391502257409052,-0.19421045305456208,MW,2
M,W,1.1656885459138868,0.8664982792618946,MW,3
M,W,-0.02890509702442319,0.06383495223766773,MW,4
M,W,1.0234702006343805,0.7395947424176925,MW,5
M,B,0.09893110605376432,0.059935759621108586,MB,6
M,W,0.7327766273393191,0.57968419695029,MW,7
M,B,-0.45805738809664115,-0.4380153292266665,MB,8
M,B,0.9944628866621673,0.6423281040854961,MB,9
M,W,-1.010677593481465,-0.9253680688775557,MW,10
M,W,0.4973832969225192,0.44529247039339487,MW,11
F,W,-3.1227722112517,-2.86569922510482,FW,12
M,W,0.3585286661306434,0.38905511699321316,MW,13
M,W,0.5703029261138381,0.4065434456012662,MW,14
F,W,-2.7860601116957424,-2.6024083949394585,FW,15
F,B,-3.377953728786236,-3.0863488443713316,FB,16
F,W,-2.335344054592756,-2.0886126944931247,FW,17
M,W,-0.4315438849922369,-0.3613300295119599,MW,18
F,B,-0.2752398805555387,-0.7039440645293531,FB,19
M,W,-0.8977729312449142,-0.6777455031493268,MW,20
F,W,-4.650834380488319,-3.8747534802433794,FW,21
M,B,0.7498135933788128,0.1944231813815559,MB,22
M,B,-0.22878065878134293,-0.5756418810435593,MB,23
M,B,0.4909346888158782,0.09484226074939278,MB,24
M,W,-0.9467838513273642,-0.7043713807533761,MW,25
F,B,-3.6086194688806246,-3.3173468302938476,FB,26
M,B,-0.4731305526187154,-0.5388634785312958,MB,27
M,W,-0.9842550713717086,-0.8137722516003141,MW,28
F,W,-3.3116996981606492,-3.1943536455731887,FW,29
M,W,-0.019939590277797088,-0.032694755847239826,MW,30
M,W,-1.2643489093720313,-1.1257467245234654,MW,31
M,W,-1.51661486055337,-1.352634696215034,MW,32
M,W,-1.6753021464509688,-1.271157555392861,MW,33
M,W,-1.3984445736396764,-1.079416198893752,MW,34
M,W,1.2136482736366425,0.9878659193935184,MW,35
F,B,-2.99662674880244,-2.945628164746811,FB,36
M,B,0.6515886925264063,0.25673541869689565,MB,37
M,B,0.861024557884022,0.13444499399332088,MB,38
M,W,-1.1830038469175708,-0.9137343235572647,MW,39
M,B,-1.453014038301132,-1.3415766479978801,MB,40
F,B,-1.739983465856875,-2.0889153785649217,FB,41
F,W,-2.5063510035805616,-2.2839009878589485,FW,42
M,B,-0.40356102391403487,-0.45359764316832574,MB,43
M,B,0.32782283666688306,-0.06852745393859921,MB,44
M,W,-0.8352772831662003,-0.6970239760255554,MW,45
M,W,0.16569180120184054,0.16921106585593745,MW,46
F,B,-1.848712067132017,-1.994424883963839,FB,47
M,W,-0.8396449955062862,-0.3931523788942982,MW,48
F,B,-2.3924230682228265,-2.4322986248887353,FB,49
F,W,-3.5379351235741074,-3.35235853288321,FW,50
M,W,0.46946633397584236,0.37066898310370305,MW,51
F,B,-2.604586698261948,-2.9497362535756455,FB,52
M,B,0.3797968514278432,0.05852294296002092,MB,53
M,B,-0.12310320544458973,-0.26778335410169785,MB,54
M,W,-0.5679349209625264,-0.4563613331023714,MW,55
F,W,-2.6157589696230206,-2.373662877713035,FW,56
F,B,-3.1683109124789404,-3.1907435824477623,FB,57
M,B,-0.1898254854862445,-0.3303605662141057,MB,58
M,W,0.504074057970899,0.14252069207719908,MW,59
M,W,-0.3223677165827116,-0.13499631811876944,MW,60
M,W,0.00024590895821381854,-0.0939835136212722,MW,61
F,W,-3.3624017965893565,-3.279070410092088,FW,62
M,W,1.4615845157669873,1.2115755317922567,MW,63
M,B,-0.7586687436723533,-0.6997079387350033,MB,64
F,W,-3.7318641231518965,-3.3587850086339874,FW,65
F,W,-3.2444317754782017,-3.077284910617724,FW,66
M,W,1.195356336722056,0.8836148469966232,MW,67
F,W,-3.2553734385060618,-2.97589217133651,FW,68
F,B,-1.4960665255418704,-1.7130703757790933,FB,69
M,W,1.1327195751526684,0.7440798719486905,MW,70
F,W,-1.5593546081604652,-1.613745267153996,FW,71
M,W,0.44503916365630247,0.19575496680779322,MW,72
F,W,-1.9890169913932054,-1.7499197872056482,FW,73
F,B,-2.6635254540105207,-2.7951071145629496,FB,74
M,B,0.559222987734205,0.2615388798622008,MB,75
M,B,1.5166024801840727,1.024819131451927,MB,76
M,B,1.5642969348461933,1.126868182186303,MB,77
M,W,0.552319924714218,0.4456032786019091,MW,78
M,W,0.6021882445198432,0.4543196321190271,MW,79
M,W,-0.23865589991082037,-0.2619653327199789,MW,80
M,W,-0.25969376996444,-0.20103206344220131,MW,81
F,W,-2.3188005069282713,-2.131244443386831,FW,82
F,B,-2.620122310236861,-2.7199876661015274,FB,83
M,B,-0.6765418597348604,-0.7415506471127478,MB,84
F,B,-1.9332117323742533,-2.2772283454493394,FB,85
M,B,-0.08572658616362132,-0.3032673383770844,MB,86
F,W,-4.417687177646686,-3.9400260565764724,FW,87
M,W,-0.1997897857733846,-0.1608710904364735,MW,88
M,W,0.2714610871811163,0.18694877944001678,MW,89
F,W,-4.299303923064436,-3.9381316270245526,FW,90
F,W,-4.974145275666913,-4.400849161986451,FW,91
F,B,-5.543447627823507,-5.217492474242482,FB,92
F,B,-3.5039521241507727,-3.5312175938888766,FB,93
M,W,0.07413252835195129,-0.006991942285528956,MW,94
F,B,-2.2008082879911535,-2.3444804158753296,FB,95
M,B,0.3727628907509903,0.19797463349176098,MB,96
M,W,0.05067066609286443,-0.13201186970631565,MW,97
M,W,-0.26683635534622213,0.005866372651410573,MW,98
M,W,-0.687913662726775,-0.6297262094884971,MW,99
M,W,-0.7318941388282499,-0.45223393490227837,MW,100
M,W,0.1031283382051703,0.0239293600617353,MW,101
M,W,0.0594270991981921,0.021715845499800077,MW,102
F,B,-4.776929302875323,-4.703037142267535,FB,103
F,B,-3.4433112499217984,-3.3820877084733967,FB,104
M,W,1.2592313585084876,0.9642278087492279,MW,105
F,W,-2.1373352633685343,-1.7926034594321156,FW,106
M,W,0.11625219963123948,0.1803539251302201,MW,107
F,B,-3.780272389193433,-3.6600352534883003,FB,108
M,W,0.9514524422970497,0.8212067494957346,MW,109
M,W,-0.7260236485820811,-0.5113097860959843,MW,110
M,W,-0.09225611340276549,0.08217940068422903,MW,111
M,W,-0.6393987971853261,-0.30338150051485313,MW,112
F,B,-3.342332278654333,-3.0878404064352987,FB,113
M,W,-0.07606091733522422,-0.09444417079175826,MW,114
F,W,-0.8171717811032977,-0.9372979346432269,FW,115
M,W,-0.7399046438248738,-0.5108503793514014,MW,116
M,W,1.3430508873742992,1.079347043355547,MW,117
M,W,0.08599049704354514,-0.04570786800683875,MW,118
M,W,0.5749891951995726,0.3342764006935687,MW,119
F,W,-1.909166722214667,-1.9711908520237569,FW,120
M,W,-1.3860474862216376,-1.0466240153437703,MW,121
M,W,-0.056231252532481464,-0.014265155136875093,MW,122
M,W,0.32028719499167113,0.3166476501458718,MW,123
M,W,-1.098533501034695,-0.9042444707134367,MW,124
M,W,-0.507249078542824,-0.4581996142641031,MW,125
M,W,-0.8158270978391537,-0.4912515981108215,MW,126
M,W,0.5610008245973516,0.37440032714109095,MW,127
F,W,-3.2587018812952735,-2.922647145262405,FW,128
F,B,-3.009922299500452,-2.8368497026283173,FB,129
M,W,-0.20752455516977047,-0.39934602713101985,MW,130
F,W,-3.0609168017066506,-2.881372049385474,FW,131
F,B,-2.91504002948858,-3.0125559838581504,FB,132
F,W,-3.1370734822744573,-3.0409416892782897,FW,133
M,W,-0.026231709560676126,-0.10879452943594303,MW,134
F,B,-1.618456465347859,-2.088269520186706,FB,135
F,B,-3.409067062414412,-3.417896605826401,FB,136
M,W,-0.3396345501319694,-0.49860828715083527,MW,137
M,W,-1.0149924285993952,-0.8819450446076151,MW,138
F,B,-2.260748709469273,-2.2698175339477062,FB,139
M,B,0.28304384372537567,0.14048307044501349,MB,140
F,W,-3.0292332892163287,-2.7022787620699966,FW,141
F,W,-2.4942408700401466,-2.240393404882604,FW,142
M,W,-0.8265492633222425,-0.6871357732034306,MW,143
F,W,-3.388400004183964,-3.0212621893711864,FW,144
M,W,1.018247360051322,0.8030883112600355,MW,145
M,B,-0.5733587975014468,-0.6855731075351916,MB,146
M,W,-0.9448082579191283,-0.6636382106666509,MW,147
M,W,0.7584077331213824,0.6713080808127431,MW,148
M,B,0.5041642472344536,-0.030038124402230526,MB,149
M,B,-0.36320854485689563,-0.40137481476518977,MB,150
M,B,1.1532105380926592,0.8274828427725015,MB,151
M,B,0.9999666523204828,0.7632549044987159,MB,152
M,W,0.06980773794917859,-0.08262110742931156,MW,153
M,W,-0.9762788369020458,-0.8475809799766315,MW,154
M,W,-1.0046475624161828,-0.636108015551536,MW,155
M,B,1.4302459970455295,0.9375003431427127,MB,156
M,W,-0.2250987779757866,-0.3577545881670429,MW,157
M,W,-0.7359120167703211,-0.6962885787209248,MW,158
F,W,-2.3384060641158873,-2.1615594675583103,FW,159
M,W,-0.6675813177317462,-0.5737454924056193,MW,160
M,B,-0.985829885606405,-1.100608557930301,MB,161
M,W,-0.8828924540526616,-0.5697141493822684,MW,162
F,W,-2.4385804844061885,-2.205493897532208,FW,163
M,W,0.2312690868898485,0.20315800095394085,MW,164
F,B,-1.7986615762208307,-2.169687475233626,FB,165
M,W,0.5661385502175414,0.47000371493047843,MW,166
F,W,-0.5224406855927008,-0.5317394274822911,FW,167
F,B,-3.2691460832901718,-3.2899509105678315,FB,168
M,B,0.4728638025771554,0.11373433462791466,MB,169
M,W,0.9241705920830487,0.8471431982118586,MW,170
M,W,-0.519226164330448,-0.498627902331786,MW,171
M,W,-0.40064183045041674,-0.19347344710484152,MW,172
F,B,-3.212952719188937,-3.1909126191103097,FB,173
M,W,-0.003055951860614013,0.014134808333798108,MW,174
M,W,0.7380998648248979,0.6613757326259395,MW,175
M,B,0.47310636727206956,0.2676225519114566,MB,176
F,W,-4.018065896342192,-3.6593959373224987,FW,177
M,W,-0.3846785374821652,-0.39526657973153295,MW,178
M,B,-0.10677594365496595,-0.33362957793395087,MB,179
F,B,-4.5060616929311115,-4.209627125695814,FB,180
M,W,-1.3511322110179826,-1.1136137924011054,MW,181
M,W,-0.5654960109164584,-0.4794371385040738,MW,182
M,W,0.21248776784701148,0.02931151815055083,MW,183
M,W,0.5785715023348075,0.273522186504102,MW,184
F,W,-2.7028477461834135,-2.3603879886688723,FW,185
M,B,-2.033497415483063,-1.863976997338502,MB,186
M,W,-0.21637253625589492,-0.1298708239215584,MW,187
F,W,-1.740561144154699,-1.5046787506109125,FW,188
F,W,-3.326732101577331,-2.9779997190092806,FW,189
F,W,-1.4557599355690112,-1.8144560066096962,FW,190
F,B,-3.2571284051772578,-3.2442855413476313,FB,191
M,W,0.08381228635628189,0.05721352661566397,MW,192
M,W,0.5600593255780482,0.36197048122258874,MW,193
M,W,0.7865529315103799,0.6142063931136483,MW,194
M,B,-0.6276924506521265,-0.7944643155545958,MB,195
M,W,0.24151244469284916,0.2169302825591663,MW,196
M,W,-0.052079105878199736,0.0612651875276087,MW,197
F,W,-3.362809114791835,-3.227334900666819,FW,198
M,W,-0.11663316646254401,-0.22297555930213137,MW,199
M,W,0.26554964000209536,0.16300719034490868,MW,200
M,W,0.5351955177311024,0.46235275642523055,MW,201
M,W,0.44162534494996264,0.38537918483983025,MW,202
M,W,0.22110070574549345,0.18879928599263215,MW,203
F,B,-1.4800543156559738,-1.8212639013340246,FB,204
M,B,-0.008662808897761746,-0.2052977883120168,MB,205
F,W,-1.9403429326097874,-1.864020713815471,FW,206
M,W,0.7536588062283927,0.4892166997537676,MW,207
F,W,-2.0189664536327894,-2.299302006394158,FW,208
F,B,-4.463386559176533,-3.964666246441097,FB,209
F,B,-5.237559264209706,-4.924211246729502,FB,210
F,W,-4.108125450890704,-3.6017181563040346,FW,211
M,W,-0.27178698145437824,-0.1817561002627666,MW,212
M,W,-0.668938123474561,-0.5502154908739848,MW,213
M,W,-0.05628378289604324,0.07382096733892374,MW,214
M,W,0.13356377704060096,0.128115723623912,MW,215
F,W,-2.137683533787296,-1.9005707892125983,FW,216
F,W,-1.6381653258543158,-1.7570642264034482,FW,217
F,B,-3.9474164673707985,-3.7468275461495955,FB,218
M,B,-0.07875542830084623,-0.10021806384757342,MB,219
F,W,-0.8477506932464545,-0.8847584098379112,FW,220
M,B,-0.46052590020449663,-0.5847566516282483,MB,221
F,W,-2.595762615936025,-2.384631097162748,FW,222
F,W,-3.7620915906490695,-3.413543643745029,FW,223
M,W,-1.0697337852873947,-1.0507817495459961,MW,224
M,W,0.5691367356687901,0.462454702321997,MW,225
M,B,-0.4768719037359216,-0.6825552867844468,MB,226
F,W,-2.7159174965506794,-2.5361604235842496,FW,227
M,B,1.7354071216637605,0.974903639933569,MB,228
M,W,-0.18781675940702228,-0.2708676564486187,MW,229
F,W,-4.199904990901376,-3.542708793568046,FW,230
M,W,-0.7930515898671978,-0.4368951664515861,MW,231
M,W,-0.4131522812511986,-0.46082300221581696,MW,232
M,B,0.38662368762634497,-0.15555345296911677,MB,233
M,W,0.8055572707770573,0.46467089980538306,MW,234
M,W,0.025078555651499978,0.01799220004977961,MW,235
M,B,-1.0006102604042282,-1.2857282986367873,MB,236
M,W,-0.9111185745984272,-0.7611935503268865,MW,237
M,W,0.6130509236035478,0.6169048191468465,MW,238
M,B,-0.8333165617886747,-0.7763853717681599,MB,239
F,W,-3.0288747688264337,-2.98900423046824,FW,240
M,B,0.14128533185751183,-0.2372431868731909,MB,241
M,W,-1.4416312260167532,-1.144213794606621,MW,242
M,W,0.07243587194467767,-0.029899435570268945,MW,243
F,W,-4.57941488938123,-3.784358400822046,FW,244
M,W,0.4862836348796115,0.4177969886124704,MW,245
F,B,-3.7154458674232815,-3.501516906281955,FB,246
F,W,-2.6973806577528934,-2.3896796089583408,FW,247
M,W,-0.3214252686986897,-0.25366000938707295,MW,248
F,W,-2.454771329332058,-2.277996014236596,FW,249
M,W,1.3721261829116018,0.903724016566783,MW,250
F,W,-3.449304472623008,-3.1672973739659422,FW,251
M,W,0.5052304251555041,0.4849096798438863,MW,252
M,B,-1.4291500820723728,-1.3901179606231475,MB,253
M,B,-0.3365771665985092,-0.7882020505392127,MB,254
M,B,-0.1934898438511149,-0.5384823006956474,MB,255
M,W,0.6800363495000377,0.38968419225307305,MW,256
M,W,-0.6390592107073757,-0.5019722425437468,MW,257
M,B,-0.9070322951435915,-1.0871932479855213,MB,258
F,B,-2.2703588713885865,-2.323670547623226,FB,259
M,W,0.015480166132397206,-0.049067830940262465,MW,260
M,B,0.006231840830648433,-0.11443463504859346,MB,261
M,B,0.5976586692462758,0.16201084727127113,MB,262
M,W,1.0583588112201179,0.7895025726237807,MW,263
F,W,-4.157934019953507,-3.8297174268517553,FW,264
F,W,-2.1935948338489064,-2.2116431499977636,FW,265
M,W,0.04637277072093662,0.2156630901193825,MW,266
F,B,-2.990431204054897,-2.8949400288862295,FB,267
F,W,-2.2928045821376895,-2.348004701554637,FW,268
M,W,-1.4142239483490997,-1.1566546738380756,MW,269
F,W,-2.1663302771144686,-2.0604021841753406,FW,270
F,W,-3.6332318703139297,-3.2608162069997846,FW,271
M,B,-0.06550969669912866,-0.3404010266886241,MB,272
M,W,-0.4726394921879048,-0.4099829552919034,MW,273
F,W,-2.740850694132747,-2.51410771014734,FW,274
M,W,-0.7020149200198507,-0.8046465811273675,MW,275
F,W,-2.633181565194106,-2.6251919153559893,FW,276
M,W,0.6089970805604975,0.44451042132100926,MW,277
F,W,-4.7694899741807495,-4.193540508990072,FW,278
F,B,-4.304001470466342,-4.0029252786587195,FB,279
M,W,0.2594849002526203,0.18900796351305527,MW,280
F,W,-4.667595819420657,-4.260578190724781,FW,281
M,W,0.33128785802348315,0.09274644887284075,MW,282
M,W,-1.5708963298880592,-1.415451846696094,MW,283
M,W,-0.9241868328326701,-0.7322412516574809,MW,284
M,W,0.19484256391589072,0.3156162184910871,MW,285
F,W,-3.2533564521845464,-3.147246686479696,FW,286
F,B,-1.325539981370382,-1.4486701001648223,FB,287
M,B,-0.9656467103749897,-1.0111231445508526,MB,288
F,W,-1.1730852837124763,-1.3954815118356498,FW,289
M,W,-0.10317403702018414,-0.005952571421822941,MW,290
M,B,-0.24466422776454338,-0.429443261915576,MB,291
M,W,-0.21409563254707376,-0.21561221644736062,MW,292
M,B,-0.06767870789684768,-0.4493981194951171,MB,293
F,B,-1.8363817412939185,-1.935243255004877,FB,294
F,W,-4.10106601593297,-3.6912955289042313,FW,295
M,W,-0.49737212848130635,-0.36439367349179647,MW,296
M,W,-0.5274961013520117,-0.6677452774289953,MW,297
F,W,-4.056380313078682,-3.3139031522326308,FW,298
M,W,0.41250752669019053,0.5304757519271829,MW,299
F,B,-2.601084451257204,-2.7032155482511184,FB,300
M,W,0.2802995539418768,0.3982717439458964,MW,301
M,B,1.637997413451887,0.8540599943286684,MB,302
F,W,-3.2502996021754993,-3.0608079165943414,FW,303
F,W,-3.736346880879378,-3.2995840636761153,FW,304
F,W,-4.23063022863184,-3.6657999836536943,FW,305
M,B,1.0424519454014116,0.628360215590194,MB,306
M,W,0.04998494403394485,0.05184971273612065,MW,307
M,W,1.0303911169996607,0.7953202831011048,MW,308
F,B,-2.6634230536834536,-2.8918129118532163,FB,309
F,W,-2.5412279386959833,-2.3349195049072025,FW,310
F,B,-1.8899551933712604,-1.9830532141890234,FB,311
M,B,-0.08053049686618692,-0.2611618803121779,MB,312
M,W,0.7989383853488616,0.7743853114152656,MW,313
M,W,-0.9952657245693701,-0.7876164560037068,MW,314
M,W,0.10478633018424988,0.28214759705163694,MW,315
F,W,-4.760334831154712,-4.156961431294448,FW,316
M,W,-1.6296922202883748,-1.2601554881176762,MW,317
M,B,-0.023086042484330344,-0.32067790368499055,MB,318
M,W,-0.7331528836192951,-0.6309583725443438,MW,319
M,B,-0.8156186835067242,-0.6502352600058313,MB,320
M,W,0.32100061993495527,0.19000429794778131,MW,321
F,B,-3.2066734197185327,-3.173830341980033,FB,322
F,W,-3.165513958916738,-2.864043818090704,FW,323
F,B,-3.293025139429301,-3.337653662181248,FB,324
M,B,0.37715809224535685,0.009267986374138337,MB,325
M,B,0.7747233345677615,0.4594833677757779,MB,326
F,W,-0.8532496595007095,-0.90561048783916,FW,327
M,W,-0.2310395160670484,-0.2555858492062845,MW,328
M,B,-0.0576196946422178,-0.38825533223850556,MB,329
F,W,-3.2156248648009154,-2.905173323400649,FW,330
M,W,0.6086365471891073,0.686668633698208,MW,331
F,W,-4.152223879112384,-3.7971772120486498,FW,332
M,W,-0.8267040731004252,-0.6214859741912552,MW,333
F,W,-3.959261964870202,-3.412399364286531,FW,334
F,B,-3.6962575219316487,-3.4756359438390887,FB,335
M,W,-0.0840342662321281,0.026579078734777398,MW,336
F,B,-3.4128006481136346,-3.643153803386265,FB,337
M,W,-1.0151387227296147,-0.8690238934300271,MW,338
M,W,-0.23707050086654985,-0.42639129941802023,MW,339
M,W,0.5809726599663719,0.38501314283919125,MW,340
M,W,-0.3746998403825394,-0.42758931041246584,MW,341
M,W,-0.285585903456369,-0.3165750348474991,MW,342
M,W,-0.1653458742186494,-0.05876629352985069,MW,343
F,W,-1.728771291611271,-1.859992539535393,FW,344
F,W,-4.588689286099887,-4.232677174186383,FW,345
M,B,0.4086874323786479,0.14472928171295907,MB,346
F,W,-3.0469836513691906,-2.6213822581358555,FW,347
F,B,-1.8982334976360644,-2.108942560696414,FB,348
M,B,-0.1699913389606815,-0.457594548055347,MB,349
M,B,-0.1985641522217778,-0.5024315577613913,MB,350
M,W,-0.12147821138312513,-0.12773890319653458,MW,351
M,B,0.4042173205195527,-0.13516635127079574,MB,352
M,W,0.16396260073061789,0.30542752289089037,MW,353
M,W,-0.060664157067323844,0.037118567705885536,MW,354
M,W,0.35646352662891967,0.10667688412188583,MW,355
M,W,-0.3621819700162293,-0.16646543747235787,MW,356
M,W,-0.008651090838466062,0.20392104943489836,MW,357
M,B,1.1420380497537628,0.6821732275863884,MB,358
M,B,0.6474258315356957,0.10506092129155697,MB,359
F,B,-3.981181302425277,-3.7971235513113064,FB,360
M,W,-1.2763920449431883,-0.8799691136614856,MW,361
M,B,-0.7030023523959598,-0.7645035477716642,MB,362
M,B,1.2981992214253386,0.8928954553119659,MB,363
F,W,-2.955675710126866,-2.5774281379166446,FW,364
F,W,-3.469231174081421,-3.080072905650508,FW,365
M,B,-0.19643425435553058,-0.31318106268102414,MB,366
M,W,-0.7537553924608749,-0.6410868957093542,MW,367
F,W,-1.4637060037636085,-1.3810115813304775,FW,368
M,B,0.08859077482018048,-0.3099458618880796,MB,369
M,W,0.3464849794263102,0.20094596708052578,MW,370
F,W,-2.676500536215117,-2.297930120390389,FW,371
M,W,0.7312914707917176,0.6394581390380144,MW,372
M,W,0.8991227945392697,0.8542393080354642,MW,373
M,W,-0.3681767649653047,-0.33519538582778174,MW,374
M,W,-1.1051549998519952,-0.8772518209695552,MW,375
M,W,1.7973749855117669,1.3411193128141,MW,376
M,W,-0.5794800995554049,-0.6984467018176885,MW,377
M,B,-1.2342456942060702,-1.4675639065510788,MB,378
M,B,-0.5134818731562321,-0.4711780977257446,MB,379
F,B,-3.4840837292514086,-3.558832899824328,FB,380
M,W,1.0864307622881746,0.833571214612493,MW,381
M,B,0.6008513889002737,0.43152280306509433,MB,382
F,B,-2.7860087525263832,-2.587308306359462,FB,383
M,B,-0.42840762625490514,-0.4419964956030325,MB,384
M,W,0.1383403287667065,0.04481033147509088,MW,385
