G,R,X,Y,GR,UID,TrueR,qw,qb
M,B,0.4479187375844942,0.3895872320675659,MB,1,W,-1,-1
M,B,-0.580766231546119,-0.42060336756240896,MB,2,W,-1,-1
F,B,-3.1397791464118647,-2.7540437155472772,FB,3,W,-1,-1
F,B,-2.552406913588015,-2.534303246343785,FB,4,W,-1,-1
M,W,-1.8761957832104434,-1.9039506624496523,MW,5,B,-1,-1
F,W,-2.59076407087741,-2.7054637819568716,FW,6,B,-1,-1
M,W,0.5921843366724413,0.40426566254538987,MW,7,B,-1,-1
F,W,-1.6048281431090259,-1.8075771621792562,FW,8,B,-1,-1
M,B,0.6645298786372401,0.6704005465633383,MB,9,W,-1,-1
F,W,-2.6665834634419667,-2.6018954409907713,FW,10,W,-1,-1
M,B,-0.4186254449329328,-0.16784756661037836,MB,11,W,-1,-1
F,B,-2.4739487536870826,-2.3917350775403903,FB,12,W,-1,-1
M,B,-0.20515473212252605,-0.3823930252314631,MB,13,B,-1,-1
F,W,-3.206742934338,-2.9633271280593965,FW,14,W,-1,-1
M,W,-0.4445998676571409,-0.44423531571836805,MW,15,W,-1,-1
M,B,-0.1004157950346421,-0.21721488275057532,MB,16,W,-1,-1
F,B,-2.191066361685895,-2.46212221335192,FB,17,B,-1,-1
M,B,-0.4142934538889634,-0.2927497721767521,MB,18,W,-1,-1
F,W,-2.8921172795289753,-2.5403556597729864,FW,19,W,-1,-1
M,B,1.6655992924719463,0.9027138710523688,MB,20,B,-1,-1
M,B,-1.2513549622693274,-1.300054656986184,MB,21,B,-1,-1
M,B,0.3211952951825927,0.01647755089348152,MB,22,B,-1,-1
M,B,0.3015289178733222,0.21993949943660063,MB,23,W,-1,-1
F,B,-3.6661313851658552,-3.3350924518057945,FB,24,B,-1,-1
M,B,-1.0916384028112747,-0.8213822746310463,MB,25,W,-1,-1
F,B,-3.244878351207328,-2.99070852358435,FB,26,W,-1,-1
M,W,0.22440942353165752,-0.059858920507192964,MW,27,B,-1,-1
M,B,0.5969503101073798,0.3796568757991713,MB,28,W,-1,-1
F,W,-2.4822739052116782,-2.741515604517244,FW,29,B,-1,-1
M,B,-1.5875506868395277,-1.5312730009243978,MB,30,B,-1,-1
F,W,-2.60875082667523,-2.383242796029672,FW,31,W,-1,-1
M,B,-0.3600989188786297,-0.2737758299658505,MB,32,B,-1,-1
F,W,-2.172723693621906,-2.3634121792990954,FW,33,B,-1,-1
M,B,-0.932147263227586,-0.8450588565627725,MB,34,W,-1,-1
F,W,-2.6571774248077915,-2.476598303507001,FW,35,W,-1,-1
M,B,-0.4413662271014056,-0.4197881829689132,MB,36,W,-1,-1
F,W,-3.095290655664361,-2.843757386368014,FW,37,W,-1,-1
M,W,-0.6273047934596834,-0.7003291355967989,MW,38,B,-1,-1
M,W,-0.7722055888067259,-0.5639274335037155,MW,39,W,-1,-1
F,B,-3.408282622140086,-2.9828962414616726,FB,40,W,-1,-1
M,B,0.7551777979947419,0.6536368159754554,MB,41,W,-1,-1
F,B,-2.4217233772217677,-1.9795860273471773,FB,42,W,-1,-1
F,B,-0.4894649489018068,-0.9269162617774044,FB,43,B,-1,-1
F,B,-1.2027753898697084,-1.375741299586235,FB,44,W,-1,-1
F,W,-3.13319892404689,-3.206488072678904,FW,45,B,-1,-1
M,W,0.41934923745831243,0.4248910749497221,MW,46,W,-1,-1
F,B,-1.4239803421595918,-1.5147414097029377,FB,47,W,-1,-1
M,W,-0.07974205557067301,0.010958763242079866,MW,48,W,-1,-1
M,B,-1.244544510903008,-0.9768682433873717,MB,49,W,-1,-1
F,W,-4.246121842385128,-3.5318486626286734,FW,50,W,-1,-1
M,B,1.1301777222030966,0.8626489191253293,MB,51,W,-1,-1
F,W,-4.2029607244574745,-4.126413848510516,FW,52,B,-1,-1
M,W,1.2389408309236887,0.850222464860277,MW,53,W,-1,-1
F,B,-3.2382132349171258,-3.0492747387500287,FB,54,B,-1,-1
F,W,-2.572490172552505,-2.3491900660585108,FW,55,W,-1,-1
M,B,-1.5058847456371125,-1.3038389907256118,MB,56,W,-1,-1
M,W,-0.384325278350771,-0.44683130489269796,MW,57,B,-1,-1
M,W,0.9228406783310008,0.71022755965596,MW,58,B,-1,-1
F,W,-2.2980774425149004,-2.1706578575479902,FW,59,W,-1,-1
M,W,-0.36836455107723937,-0.3099393830437491,MW,60,W,-1,-1
F,B,-1.9333102551607064,-2.2598038076767804,FB,61,B,-1,-1
M,B,-0.6965993156701734,-0.47810448578550363,MB,62,W,-1,-1
M,W,0.2127865913410672,-0.17403662748091828,MW,63,B,-1,-1
F,W,-3.7762848514803333,-3.2259059096531324,FW,64,W,-1,-1
M,W,-1.2637001285333274,-1.0262443843571958,MW,65,W,-1,-1
M,W,-0.39772681410895566,-0.6304718589077543,MW,66,B,-1,-1
M,W,0.22294593610070934,0.26577854736259415,MW,67,W,-1,-1
M,W,-0.6664163323917421,-0.5579558908293835,MW,68,W,-1,-1
F,B,-1.585166963455654,-1.709310246030461,FB,69,B,-1,-1
M,W,1.0155194306846427,0.5885729533376233,MW,70,B,-1,-1
M,B,0.6406727978437755,0.2798172592804574,MB,71,B,-1,-1
F,B,-1.600147034583896,-1.9851086960701716,FB,72,B,-1,-1
M,W,0.7392843788395619,0.640140382244275,MW,73,W,-1,-1
F,B,-2.9113851350574795,-2.5963383511157256,FB,74,W,-1,-1
F,W,-2.537030800808395,-2.6831538092439424,FW,75,B,-1,-1
M,B,-0.8005713797135349,-0.6613787000832497,MB,76,B,-1,-1
M,B,-0.6804599024579528,-0.6097595514620789,MB,77,W,-1,-1
M,B,-1.4907305510021664,-1.4018504507635698,MB,78,B,-1,-1
F,W,-3.3597613932454764,-3.1737615679979214,FW,79,W,-1,-1
M,B,-0.8018171800782088,-0.5291300251064256,MB,80,W,-1,-1
F,B,-2.781961039935593,-2.63522972192791,FB,81,B,-1,-1
M,B,-1.1875412237872742,-0.9542898138729979,MB,82,W,-1,-1
F,W,-2.3445619207459893,-2.279318896804071,FW,83,W,-1,-1
F,W,-3.343815660326663,-3.1207079855955437,FW,84,W,-1,-1
M,W,1.404096338752011,0.9648090177687427,MW,85,W,-1,-1
M,B,0.7015523763668255,0.4347367050647656,MB,86,W,-1,-1
M,W,-0.26741484300340307,-0.30565047064918954,MW,87,W,-1,-1
F,W,-2.4504383249581156,-2.2154309935221037,FW,88,W,-1,-1
F,W,-0.8984416000313464,-1.0568951481611135,FW,89,W,-1,-1
M,W,-0.8831798840341205,-0.7944613777973261,MW,90,W,-1,-1
M,B,-0.26670351576253576,-0.07404935612378993,MB,91,W,-1,-1
M,B,-0.6318818306760845,-0.5177497195924841,MB,92,W,-1,-1
M,W,-0.5036559298186529,-0.7668411129799277,MW,93,B,-1,-1
M,W,0.169784751392128,0.10926952464109388,MW,94,W,-1,-1
F,W,-2.465780549466472,-2.2252582070062434,FW,95,W,-1,-1
F,W,-3.269618503914464,-3.28795768324641,FW,96,B,-1,-1
M,B,1.4196633574359276,1.230829512878752,MB,97,W,-1,-1
M,W,-0.7010961871660226,-0.5717585560180395,MW,98,W,-1,-1
M,B,0.7111177405723416,0.20124498231029964,MB,99,B,-1,-1
M,B,-0.4617116805110865,-0.40196318996779173,MB,100,W,-1,-1
M,W,0.7910290518617692,0.6832692618200764,MW,101,W,-1,-1
M,B,0.5971086745326407,-0.004572440409445044,MB,102,B,-1,-1
F,B,-3.621658707973178,-3.4490279634096446,FB,103,B,-1,-1
M,W,0.39203033148535155,0.25903991625638145,MW,104,W,-1,-1
F,W,-3.002928948278168,-2.868881876064277,FW,105,W,-1,-1
F,B,-3.5134674762733953,-3.1277117562797283,FB,106,W,-1,-1
M,W,-0.375918543536067,-0.4949505540298794,MW,107,B,-1,-1
F,W,-3.9849771345542018,-3.654213158891173,FW,108,W,-1,-1
M,B,-0.3695395742245214,-0.5623803337799013,MB,109,B,-1,-1
M,B,-0.7269373272391475,-0.6522919270845119,MB,110,W,-1,-1
M,B,0.06140583733817875,-0.10161633902981482,MB,111,B,-1,-1
M,B,0.013929039145563538,-0.06961614647652235,MB,112,W,-1,-1
F,W,-3.1980664851873484,-3.172100793245381,FW,113,B,-1,-1
M,W,-1.325632964128982,-1.17733212293433,MW,114,B,-1,-1
M,W,-0.21794387447029048,-0.15187909509994377,MW,115,W,-1,-1
M,W,-0.5057945447762162,-0.5338214379463746,MW,116,W,-1,-1
M,W,0.4629302442639586,0.44170285656729297,MW,117,W,-1,-1
M,W,0.927542553842478,0.47370753374453817,MW,118,B,-1,-1
M,B,-0.3259500263848947,-0.39239784893695795,MB,119,B,-1,-1
M,B,0.25990882068315807,0.21729098262504015,MB,120,W,-1,-1
M,W,-0.37339012812174127,-0.366971333792956,MW,121,W,-1,-1
M,W,1.3147238836686608,0.859519568435492,MW,122,W,-1,-1
M,W,0.6371210554919678,0.6416411014301558,MW,123,W,-1,-1
M,W,0.2646197598542902,0.13088689284126154,MW,124,W,-1,-1
F,B,-3.230068748026082,-3.3265376461774108,FB,125,B,-1,-1
M,W,-0.3818848260453818,-0.3900799331793814,MW,126,W,-1,-1
F,B,-2.51669759309033,-2.4675984641877724,FB,127,W,-1,-1
F,W,-4.164711233010761,-3.5908772176761197,FW,128,W,-1,-1
M,B,-0.4826541183902603,-0.4297343243627368,MB,129,W,-1,-1
M,W,-0.35610738447183554,-0.2744974528279299,MW,130,W,-1,-1
M,B,0.36602182538185424,-0.013694760450107313,MB,131,B,-1,-1
F,W,-3.507462969728714,-3.3442651082742305,FW,132,W,-1,-1
M,W,0.4556560663636003,0.3676651716744746,MW,133,W,-1,-1
F,W,-3.6673846088943387,-3.295197466899914,FW,134,W,-1,-1
M,B,0.09177314965031537,0.025785201062937274,MB,135,W,-1,-1
F,W,-3.2176111261405493,-2.7642548611520628,FW,136,W,-1,-1
