G,R,X,Y,GR,UID
F,W,-0.9840272231226398,-0.9047191102758219,FW,1
F,B,-0.9920883060899963,-0.990231914906365,FB,2
M,B,-0.03247211340303571,-0.10344052514551029,MB,3
M,B,0.04378054255622042,-0.04826200615022972,MB,4
F,W,-0.9742909342717366,-0.901016939351668,FW,5
M,B,-0.0441243634206998,-0.12403749528713517,MB,6
M,W,0.0020298412454703447,0.009159378559323656,MW,7
F,W,-1.0116311917138243,-0.936157175440202,FW,8
F,B,-0.9298415958070754,-0.9434647823002804,FB,9
M,W,-0.0006678924495849978,-0.0019575154057144056,MW,10
M,B,-0.02050601400533379,-0.09504463024832333,MB,11
M,W,0.02546478434402351,0.02992959789688262,MW,12
M,B,-0.0015239282254583696,-0.07502492019592416,MB,13
M,B,-0.023984086865791867,-0.09493339534575472,MB,14
M,B,-0.043553910200024054,-0.11789343707126926,MB,15
M,W,-0.008394914252137115,0.003280681346421492,MW,16
F,B,-1.0448182792359457,-1.029653742364575,FB,17
F,W,-0.9885788678250078,-0.9055642883202396,FW,18
M,W,0.028858578014907016,0.02049160051476476,MW,19
F,W,-1.0207517400370854,-0.933610590974888,FW,20
M,W,0.043023431416005245,0.03406214784169974,MW,21
M,W,0.042124178106405626,0.03109024591901881,MW,22
F,W,-0.9847515294566347,-0.908005201850701,FW,23
M,W,-0.005043975621401557,-0.001673996431576666,MW,24
M,W,0.05328272314336836,0.04518786399116089,MW,25
M,B,0.02199521174000012,-0.060326546572337644,MB,26
M,W,0.05390846239773674,0.04867352366711059,MW,27
F,B,-1.0161467955233157,-1.013640601835018,FB,28
M,B,0.059311915996565025,-0.03013699358061376,MB,29
F,B,-0.9970969367970133,-0.9987807270295869,FB,30
M,B,0.029983734938366757,-0.061898478147734075,MB,31
M,B,-0.022868884845373947,-0.10086828966491601,MB,32
M,B,0.07153697998531895,-0.022625178845975667,MB,33
M,W,-0.036894332921512424,-0.03298280020357221,MW,34
M,W,-0.03389247497413193,-0.03511100349592515,MW,35
M,W,-0.024624256847065727,-0.014508079946349624,MW,36
M,B,0.034196269034074876,-0.05891913372960188,MB,37
M,B,0.042218470033750156,-0.05106105526987154,MB,38
M,B,0.023734374966405535,-0.0653742229704185,MB,39
F,B,-0.9932407939690275,-0.9928148052599716,FB,40
M,W,-0.033695505571882875,-0.03134553742828027,MW,41
M,W,-0.02114292595302219,-0.018695001299100032,MW,42
M,W,0.006716124966252606,0.004800699576130856,MW,43
M,B,0.014361595062244758,-0.07139536011510597,MB,44
M,B,0.01732181620761223,-0.07089858075598904,MB,45
M,W,-0.01689560504233504,-0.018338175084886672,MW,46
F,W,-0.9748038624477194,-0.9036337230290706,FW,47
