G,R,X,Y,GR,UID,TR,qw,qb
M,W,0.04794513109762454,0.031057758263615114,MW,1,W,0,0
M,B,-0.006452888832154763,-0.0849683764719528,MB,2,B,0,1
F,W,-1.0054747308359238,-0.9251859902943096,FW,3,W,0,0
M,B,0.026957940584982253,-0.061173275459657034,MB,4,B,0,1
M,B,-0.07343237046368717,-0.14389818005921806,MB,5,B,0,1
F,W,-1.041437759603491,-0.952925979503231,FW,6,W,0,0
M,W,0.01751640511871956,0.008584484672747267,MW,7,W,0,0
M,B,-0.0029446122025095518,-0.08055830778337889,MB,8,B,0,1
M,W,-0.039825050052830546,-0.034761513486194565,MW,9,W,0,0
F,W,-1.0733772304707598,-0.9711844132141176,FW,10,W,0,0
M,B,-0.03383591645795729,-0.10321971583010792,MB,11,B,0,1
F,B,-1.0172596247557475,-1.0280878838465568,FB,12,B,0,1
M,W,-0.023503714590055506,-0.020384621494314525,MW,13,W,0,0
M,B,-0.0003866840759800302,-0.08481612010031808,MB,14,B,0,1
M,W,0.013982923815335276,0.016622459035838,MW,15,W,0,0
F,B,-0.9743148103861627,-0.9821717742827832,FB,16,B,0,1
M,B,0.013390031844026179,-0.06598760738913129,MB,17,B,0,1
M,B,0.010698814318756883,-0.06915892348067802,MB,18,B,0,1
M,B,0.0033753930641760915,-0.07872240627490469,MB,19,B,0,1
M,W,-0.00041376601127422736,-0.0037596231721053154,MW,20,W,0,0
M,B,-0.03496749037779939,-0.1186155330340178,MB,21,B,0,1
M,W,0.03517501751189355,0.02566576315959545,MW,22,W,0,0
M,W,-0.03593673912115183,-0.022348851276830655,MW,23,W,0,0
M,B,-0.04030489898434748,-0.11040094705447542,MB,24,B,0,1
M,B,0.0263797553045362,-0.05806567355341371,MB,25,B,0,1
M,B,0.015145006238256637,-0.06947758819896402,MB,26,B,0,1
F,W,-1.0186876435009353,-0.9339361978202341,FW,27,W,0,0
F,W,-1.0298556074344873,-0.9457873276268159,FW,28,W,0,0
M,W,0.00556192602568871,0.009954244545586443,MW,29,W,0,0
M,W,0.04778939964681815,0.04173683986281004,MW,30,W,0,0
F,B,-0.9771652900206762,-0.9827545507613068,FB,31,B,0,1
M,W,-0.013585836367786309,-0.0073835051154134725,MW,32,W,0,0
F,W,-0.9963258607402351,-0.9070357849352713,FW,33,W,0,0
M,W,0.02221450006685474,0.017908676603483328,MW,34,W,0,0
M,B,0.007424790756607342,-0.07692009375166374,MB,35,B,0,1
