G,R,X,Y,GR,UID
M,B,0.007850972862102082,-0.07116171021717453,MB,1
M,W,-0.03724790447747226,-0.02558221283866893,MW,2
M,W,0.024246958268124487,0.017933630218126887,MW,3
F,W,-1.017580914214019,-0.9408676388719174,FW,4
F,B,-1.0206056397392502,-1.0211922745993165,FB,5
F,W,-1.006572360408042,-0.9268775547147273,FW,6
M,W,-0.019804443322581303,-0.014337077386958592,MW,7
F,B,-1.0020992487136495,-0.9956142915948751,FB,8
M,B,-0.036936311189068136,-0.10774698591648772,MB,9
F,W,-0.9614604495438663,-0.8804148129104175,FW,10
M,W,-0.002544552435320284,0.0005956944704235919,MW,11
M,W,0.0057332654099500275,0.0020925057123645477,MW,12
F,W,-1.0109832755592312,-0.9331934344398447,FW,13
M,W,0.021538930371960516,0.020174434697681355,MW,14
F,W,-1.0535682580318044,-0.964380466442053,FW,15
M,W,-0.014472474524571614,-0.011939102338277845,MW,16
F,W,-0.9952586338591586,-0.9206596489434697,FW,17
M,B,-0.03872694006339399,-0.11461574970500439,MB,18
M,B,0.029983532683098293,-0.059696949681953576,MB,19
F,W,-1.0008304519472777,-0.9134572998792752,FW,20
M,W,-0.05850794050403167,-0.05068689380424899,MW,21
M,B,-0.040387211754154904,-0.10806907882025327,MB,22
F,W,-1.0152183392909002,-0.9329162215480923,FW,23
M,W,-0.02298628844509407,-0.022019016857994955,MW,24
M,W,-0.03722172202536852,-0.022131578547268826,MW,25
M,B,0.03529790001941206,-0.050753169813002395,MB,26
M,W,-0.0070271938145231375,0.005283988009197108,MW,27
M,W,-0.030379008259061854,-0.024089386510435983,MW,28
M,W,0.01772523806694521,0.016132100303441928,MW,29
F,W,-0.9640633829846709,-0.8888538260935873,FW,30
F,W,-1.0038873159336932,-0.9202974347291089,FW,31
M,W,0.10593697510175692,0.07983121390598527,MW,32
F,W,-0.9983273140598095,-0.9224805095081635,FW,33
M,B,-0.026137892768752446,-0.09233495210858791,MB,34
M,W,-0.036672558951530265,-0.027031239748171832,MW,35
F,W,-1.0388259562532236,-0.9504960740434172,FW,36
M,W,0.03051669354069011,0.021275333715315682,MW,37
M,B,0.012119183208981438,-0.06355381953383743,MB,38
F,B,-0.9797915172935919,-0.9922137550305641,FB,39
F,B,-1.009030966571099,-1.012342794875857,FB,40
M,W,0.03023681164223711,0.02842357553940159,MW,41
M,W,-0.008028016202176795,-0.012489047679659476,MW,42
M,W,0.006415911536882628,0.006675364935669181,MW,43
F,W,-0.9667405963215382,-0.8940205475221685,FW,44
F,W,-1.0263416899460056,-0.9302688049538439,FW,45
F,B,-1.033488507527126,-1.0180825338284403,FB,46
M,W,0.029255686224998637,0.02697435835430744,MW,47
F,W,-0.9363378240287963,-0.8741544477798534,FW,48
M,B,-0.00912533225904657,-0.08722079573394254,MB,49
M,W,-0.011898158671754673,-0.006895832143930445,MW,50
F,B,-1.0496852780955876,-1.040131778380009,FB,51
F,W,-1.0070123557978092,-0.9245745087401049,FW,52
F,W,-0.9371263300477374,-0.8736907974403537,FW,53
M,W,0.01056926796974734,0.01105908467121076,MW,54
M,W,-0.0068289910189376826,-0.004646268462762052,MW,55
M,W,-0.05647246328660431,-0.038130711243275855,MW,56
M,B,0.017570823540318314,-0.05772806493554729,MB,57
F,W,-0.961853261786199,-0.8947199756671915,FW,58
F,W,-1.0129276235145417,-0.9377966254523002,FW,59
M,W,0.009224436679764131,0.006462526720270294,MW,60
M,W,0.04722201438991104,0.044853394568495325,MW,61
M,B,0.005647542131848726,-0.07709250446080895,MB,62
M,W,-0.06999181759536614,-0.04831802309724772,MW,63
F,W,-1.058627601912095,-0.9649360600055314,FW,64
M,B,0.028748271496554907,-0.05774129443470344,MB,65
M,W,0.0007172760756281949,0.0030106352789305672,MW,66
M,B,0.02389880405204846,-0.0549915639463409,MB,67
M,W,-0.030154552806366728,-0.033556297045731515,MW,68
F,W,-1.0148485893339243,-0.9329660991407495,FW,69
M,W,0.040990802486918027,0.03391687075915852,MW,70
M,B,0.01594934829404484,-0.06682711502356724,MB,71
F,W,-0.9957190245881847,-0.913813528346334,FW,72
M,W,-0.008247327562041886,-0.010639356032007417,MW,73
F,W,-1.0373858671426774,-0.9467973700360048,FW,74
M,B,-0.06521437599399947,-0.1331403517849466,MB,75
F,W,-0.9148283561005401,-0.8442499139413087,FW,76
F,W,-0.9818238573065948,-0.9042981487205082,FW,77
M,W,-0.03332035261127501,-0.01839496037592563,MW,78
F,W,-1.0553376205383445,-0.9619947009729038,FW,79
M,B,-0.014627090447261333,-0.08755872543695915,MB,80
F,W,-1.0044963769320718,-0.9292974599690895,FW,81
M,W,0.03127782714508246,0.022122873282208116,MW,82
F,B,-0.9897645134205079,-0.9939822253349107,FB,83
F,W,-1.0263913187858689,-0.9339241179587441,FW,84
F,W,-1.0041199998768395,-0.9247452026728227,FW,85
M,B,0.025311849910611715,-0.053623795221820314,MB,86
M,W,0.04696669337941983,0.040687418914990066,MW,87
F,W,-0.9897374666383302,-0.9122895512185778,FW,88
F,W,-1.025721672446459,-0.9357964921110222,FW,89
M,B,0.012578487227258286,-0.06627148169189578,MB,90
M,B,0.00444321449165404,-0.07681681759814697,MB,91
M,B,0.022112678720199633,-0.057930813331328844,MB,92
F,B,-0.9660843624024503,-0.9760778299058319,FB,93
F,W,-1.015677300378243,-0.9355888556926473,FW,94
F,W,-1.086173357621768,-0.9898751357432023,FW,95
F,W,-1.0375489607084214,-0.9480649910398514,FW,96
F,W,-0.929490329854176,-0.8604802285442174,FW,97
F,B,-1.0149654027638975,-1.0088240433243132,FB,98
M,B,-0.027349228766439193,-0.09897278403734913,MB,99
M,W,-0.015991089810955032,-0.01030301346329436,MW,100
F,B,-1.0129108064235783,-1.006073685553895,FB,101
F,W,-0.9889893937664893,-0.9094643665276173,FW,102
M,B,-0.004263977657142706,-0.08023635226421273,MB,103
F,W,-1.0735555683011733,-0.9870482580292027,FW,104
M,W,-0.009124890835561984,-0.005069032711678311,MW,105
M,B,0.025260745025464885,-0.056206190091628735,MB,106
M,W,-0.037292200249578966,-0.029991426343309254,MW,107
M,W,0.009522137769160544,0.0005445305878287628,MW,108
M,W,0.0053532046006434094,0.0010783779739112547,MW,109
F,B,-0.9867247142923813,-0.9941139039725971,FB,110
M,W,-0.010356589776558288,-0.008138065384023578,MW,111
M,B,0.0313911091888623,-0.05466581739292281,MB,112
M,W,0.031631963748357264,0.025197558742163804,MW,113
M,W,-0.022384615881856272,-0.013983977032051436,MW,114
M,B,0.05835846662458223,-0.03406554339194504,MB,115
F,B,-0.9570085180335499,-0.970822895253705,FB,116
F,B,-1.0179816768923446,-1.0156727709529996,FB,117
M,B,-0.035469360946906746,-0.1097868943671546,MB,118
M,W,0.007509161914833125,0.009602735719585812,MW,119
F,W,-0.9791304064504466,-0.8993161743682351,FW,120
M,B,-0.018262394477264816,-0.1005817949342743,MB,121
M,W,0.016522776413622067,0.012673049982296212,MW,122
M,B,-0.004767649187900278,-0.08458488609851342,MB,123
M,B,-0.03485223288870464,-0.11210674235715785,MB,124
M,W,-0.0326125946182928,-0.03113073648645376,MW,125
M,B,0.006631766632270498,-0.07106847333570221,MB,126
M,W,0.025278854486517777,0.023578146827849325,MW,127
M,B,-0.003900768826227874,-0.08117654993426623,MB,128
F,W,-0.9779860575615938,-0.8905943923225603,FW,129
F,W,-0.9989865819174308,-0.9237938562015109,FW,130
M,W,-0.05087983254129295,-0.04387180168448934,MW,131
M,W,0.016580775219517035,0.002169999679944367,MW,132
M,W,-0.034556315162489346,-0.03517256366212673,MW,133
F,W,-1.0172237031699152,-0.9303715456048209,FW,134
