G,R,X,Y,GR,UID,TR,qw,qb
F,B,-1.0247217898764678,-1.0141498727609637,FB,1,B,0,1
M,W,0.0005438355607425685,0.004396864603521373,MW,2,W,0,0
M,W,0.040726029772771816,0.02673531994021215,MW,3,W,0,0
M,B,0.004149727428299711,-0.07966264073008565,MB,4,B,0,1
F,W,-0.9709898498865136,-0.8960137799102081,FW,5,W,0,0
M,W,-0.03648732164916972,-0.029750459551909345,MW,6,W,0,0
M,W,0.03722815816207323,0.030941049217899398,MW,7,W,0,0
M,B,-0.0043985858822945595,-0.08995729608755913,MB,8,B,0,1
M,B,0.02761377109706333,-0.05897085987655634,MB,9,B,0,1
M,B,-0.00022291027908852,-0.08367216807177867,MB,10,B,0,1
F,B,-1.0185385847529194,-1.0158235165210174,FB,11,B,0,1
F,W,-1.000251708003413,-0.91876778281429,FW,12,W,0,0
F,W,-1.0144569596557036,-0.9393814353641929,FW,13,W,0,0
F,B,-1.0123946506150565,-1.0098635397031557,FB,14,B,0,1
M,W,0.04889568267555109,0.03858452143920193,MW,15,W,0,0
M,B,0.011542956842318566,-0.07460885705877203,MB,16,B,0,1
F,W,-0.9804338188358999,-0.9115729432075609,FW,17,W,0,0
F,B,-1.0458299286076536,-1.0361733406356217,FB,18,B,0,1
F,B,-0.9610625099704815,-0.9604629339917519,FB,19,B,0,1
F,W,-1.0170427690133725,-0.9394097673818705,FW,20,W,0,0
M,B,0.03120359426405254,-0.051745302341907565,MB,21,B,0,1
M,W,0.011321433680240212,0.010785127676895765,MW,22,W,0,0
M,W,0.04236488813601368,0.03565280207246396,MW,23,W,0,0
M,B,0.021008097550917745,-0.07008578746296526,MB,24,B,0,1
M,B,-0.006195929144344336,-0.08198709143965259,MB,25,B,0,1
F,B,-1.0292901931894538,-1.02237401937747,FB,26,B,0,1
M,W,0.051623448778080554,0.03863344064579618,MW,27,W,0,0
M,W,0.038810273090226145,0.029500663794503293,MW,28,W,0,0
F,B,-0.991773678293722,-0.9937894456826832,FB,29,B,0,1
M,W,-0.0055754045171759565,-0.012643829491946468,MW,30,W,0,0
M,B,0.02889214419606873,-0.05488337182178658,MB,31,B,0,1
F,B,-0.9896833405869386,-0.9943655622576728,FB,32,B,0,1
M,W,0.01283752039591197,0.015481726564508923,MW,33,W,0,0
F,B,-1.022138229688741,-1.0101260724950054,FB,34,B,0,1
F,W,-1.0306348806317671,-0.9381757196215738,FW,35,W,0,0
M,W,-0.05494765819400333,-0.045514130800155185,MW,36,W,0,0
M,W,0.04056707062754835,0.033626009404279913,MW,37,W,0,0
M,W,0.01124312535604558,0.007507124415102707,MW,38,W,0,0
M,B,-0.007801746450993115,-0.08449063669220305,MB,39,B,0,1
F,B,-1.0632219049331961,-1.046286135831262,FB,40,B,0,1
M,W,-0.010719942326887319,-0.013750694630860505,MW,41,W,0,0
M,W,-0.025666968916728757,-0.02207472536201193,MW,42,W,0,0
F,W,-0.997492227978469,-0.9084206872527685,FW,43,W,0,0
F,W,-1.0493848199641638,-0.9579044941074959,FW,44,W,0,0
F,B,-0.9830176720480475,-0.9813835697648248,FB,45,B,0,1
M,W,0.016215901534476027,0.007448568330743383,MW,46,W,0,0
M,B,-0.02427878941500344,-0.10374738550317475,MB,47,B,0,1
M,B,-0.011328615645477227,-0.09451986697774176,MB,48,B,0,1
M,W,0.020603756513162062,0.014143915069570558,MW,49,W,0,0
F,B,-1.0154854805131766,-1.012449376132239,FB,50,B,0,1
M,W,0.009315112699566846,0.00842495474562245,MW,51,W,0,0
M,W,-0.041655441298548486,-0.03631095446558534,MW,52,W,0,0
M,B,0.03419435829378921,-0.05962325843657032,MB,53,B,0,1
F,B,-1.0025406819812732,-1.0011417784971537,FB,54,B,0,1
F,B,-1.0050196233377657,-1.0019725442576353,FB,55,B,0,1
M,W,0.007145704861345945,0.009837625321206033,MW,56,W,0,0
M,B,-0.02376137240004189,-0.09948351914538084,MB,57,B,0,1
M,B,-0.038443301215035725,-0.11184805384226532,MB,58,B,0,1
F,W,-1.0072977602221667,-0.9154035621359609,FW,59,W,0,0
M,W,0.0241908295424515,0.01942047344666233,MW,60,W,0,0
F,W,-0.9851423785665324,-0.9032721395327192,FW,61,W,0,0
M,B,-0.036758296354658014,-0.10605554694814671,MB,62,B,0,1
M,W,0.00866141215132217,0.011311802682949058,MW,63,W,0,0
F,W,-0.9736557967622466,-0.9031877679141105,FW,64,W,0,0
M,B,-0.023637181896457863,-0.0974379426062117,MB,65,B,0,1
M,W,0.004583004578637848,0.00491833636880119,MW,66,W,0,0
F,W,-1.0600233481942964,-0.9710565778757567,FW,67,W,0,0
F,W,-0.9910649911886732,-0.9182846655804134,FW,68,W,0,0
F,W,-1.0007119775328417,-0.9201948966341502,FW,69,W,0,0
M,B,0.07047349576369144,-0.023989978012890795,MB,70,B,0,1
M,W,-0.015123261119265864,-0.013699739311398083,MW,71,W,0,0
M,W,-0.06744775950253463,-0.053641483413451596,MW,72,W,0,0
M,B,-0.03167718137777725,-0.10659753870143766,MB,73,B,0,1
M,W,0.009126134382345297,0.007679957560154718,MW,74,W,0,0
M,W,0.05881500127697805,0.0440076778969264,MW,75,W,0,0
M,W,-0.014137584730874356,-0.00881035808496456,MW,76,W,0,0
M,W,0.04355258904539392,0.038500136004763874,MW,77,W,0,0
M,W,0.03938833505952524,0.022652026637306207,MW,78,W,0,0
M,B,-0.001945913583247211,-0.08103162834446923,MB,79,B,0,1
M,W,-0.013425609659025934,-0.011049739956080905,MW,80,W,0,0
F,W,-0.98027813924867,-0.903897182784329,FW,81,W,0,0
F,W,-0.9833904865504616,-0.9053165077239412,FW,82,W,0,0
M,W,0.030719992506237706,0.03001145756886856,MW,83,W,0,0
M,W,0.04772140762669049,0.03616025849963848,MW,84,W,0,0
M,B,0.028339290857266657,-0.06161251495386312,MB,85,B,0,1
F,W,-0.9639132729769796,-0.8906407637144216,FW,86,W,0,0
M,B,0.045038185944469004,-0.04050981611535732,MB,87,B,0,1
F,W,-0.9575355984640441,-0.8847183035593569,FW,88,W,0,0
M,W,0.025402420180598753,0.01083167195686271,MW,89,W,0,0
F,B,-1.0157495871740592,-1.0184324868305983,FB,90,B,0,1
F,B,-1.0358821766109347,-1.0245333467163331,FB,91,B,0,1
M,W,-0.011325793582627555,-0.010905236468234093,MW,92,W,0,0
M,W,0.0030258867004318945,0.010158188966101763,MW,93,W,0,0
M,W,0.03809439762465065,0.029750814899668535,MW,94,W,0,0
M,B,-0.022485475081072296,-0.09125479743624632,MB,95,B,0,1
F,W,-0.9806827845293216,-0.9007258397178497,FW,96,W,0,0
M,B,0.004262970233020786,-0.08417186889304287,MB,97,B,0,1
M,B,0.023587130845062632,-0.06633602968357387,MB,98,B,0,1
F,W,-0.9468518295135334,-0.8772041281087017,FW,99,W,0,0
F,W,-0.9531989700405246,-0.8780526341253038,FW,100,W,0,0
M,B,0.05990659170593458,-0.042695044086645276,MB,101,B,0,1
F,B,-0.9496796765616196,-0.9627135804591447,FB,102,B,0,1
M,W,-0.018383903922000074,-0.007218967190432675,MW,103,W,0,0
F,W,-0.9695723995503228,-0.9070080581705113,FW,104,W,0,0
M,W,0.02358135186300819,0.01955952764480799,MW,105,W,0,0
F,B,-1.030810206492125,-1.0205372133869977,FB,106,B,0,1
M,W,0.03840461352853358,0.035253432433933196,MW,107,W,0,0
F,B,-0.9929027170362666,-1.0003172966884932,FB,108,B,0,1
F,B,-0.9910259460210573,-0.9917807341193337,FB,109,B,0,1
M,W,0.001826555727007379,0.00013145919287556795,MW,110,W,0,0
M,W,0.02222312181878386,0.016355708885972074,MW,111,W,0,0
M,W,-0.027704691792144152,-0.023842289186387006,MW,112,W,0,0
M,W,-0.06179623744163167,-0.04834526889871391,MW,113,W,0,0
M,W,-0.0026220627101592045,-0.008729233395373936,MW,114,W,0,0
F,W,-1.009207668759758,-0.9362996994770486,FW,115,W,0,0
M,B,-0.011689534783430005,-0.09171893310794962,MB,116,B,0,1
M,B,0.004843892015049822,-0.06816704933042929,MB,117,B,0,1
M,B,-0.005875842273348155,-0.0921228554912886,MB,118,B,0,1
M,W,0.02866902372294933,0.028718499880140174,MW,119,W,0,0
F,W,-1.0542096493349056,-0.964595367363312,FW,120,W,0,0
F,B,-1.0187703760740807,-1.0152385171277118,FB,121,B,0,1
F,W,-1.0588045790843321,-0.9630271885420063,FW,122,W,0,0
F,W,-1.0113072886654786,-0.9270585195045169,FW,123,W,0,0
F,W,-1.0412865336619772,-0.9519751874680022,FW,124,W,0,0
M,W,-0.012032161254911935,-0.00950167704821317,MW,125,W,0,0
M,B,-0.06062634499726352,-0.13357631596967284,MB,126,B,0,1
M,B,-0.038442105218204785,-0.11661058928908456,MB,127,B,0,1
M,W,0.051175799694863286,0.05112970104284698,MW,128,W,0,0
F,B,-0.9680292721130437,-0.9821916247597444,FB,129,B,0,1
M,W,0.021027421237913808,0.013750696408554398,MW,130,W,0,0
F,W,-0.9921994842777047,-0.9200329093336493,FW,131,W,0,0
F,B,-0.907305226355175,-0.9292628947681953,FB,132,B,0,1
M,W,-0.03631188485549723,-0.03142482525545817,MW,133,W,0,0
M,W,0.022468799842080774,0.012787383313987977,MW,134,W,0,0
F,W,-1.0227231468195717,-0.9432433681565621,FW,135,W,0,0
M,B,0.03499487304937765,-0.0520052516048945,MB,136,B,0,1
M,B,0.016528347262833813,-0.061651240302470586,MB,137,B,0,1
M,W,-0.006714349835148431,0.0012849556413967698,MW,138,W,0,0
M,B,-0.018546709344750136,-0.10547686158231179,MB,139,B,0,1
M,W,-0.03586995455051469,-0.028749411989527927,MW,140,W,0,0
M,W,-0.019366103790790373,-0.012821606455067696,MW,141,W,0,0
M,W,0.027937768253751362,0.015146588818861315,MW,142,W,0,0
M,W,-0.011660514334475175,-0.007601456984812071,MW,143,W,0,0
M,W,0.01132102811689314,0.00579550086407222,MW,144,W,0,0
F,W,-0.9400351392066177,-0.8841142063136679,FW,145,W,0,0
M,W,0.0028911022581879207,0.009104115680303781,MW,146,W,0,0
M,B,-0.014400104904106103,-0.09381581517745624,MB,147,B,0,1
M,B,0.024245804176089146,-0.05915730625605488,MB,148,B,0,1
M,W,0.054968104213367605,0.040027285287305134,MW,149,W,0,0
M,W,0.011888982298811506,0.006211827219093681,MW,150,W,0,0
F,B,-1.0458189246076208,-1.0436495679561744,FB,151,B,0,1
M,W,-0.040960014274157214,-0.03191080712115765,MW,152,W,0,0
M,W,-0.019662606396190642,-0.007608748519704221,MW,153,W,0,0
M,W,0.035501074574460806,0.021532385233646922,MW,154,W,0,0
M,B,0.04998586927687689,-0.044892133703786224,MB,155,B,0,1
M,B,0.0023670582486146107,-0.07405402940966492,MB,156,B,0,1
F,W,-1.053447952018568,-0.9676747499831003,FW,157,W,0,0
M,B,-0.0581657239443384,-0.12574602059419898,MB,158,B,0,1
M,W,-0.014743080048819855,-0.008970256520240581,MW,159,W,0,0
M,W,-0.02455181021703911,-0.015596831831334403,MW,160,W,0,0
M,W,0.006937011185421793,0.0047667070582178015,MW,161,W,0,0
M,W,0.026849489902939484,0.028287971394590664,MW,162,W,0,0
M,W,0.01840957913426232,0.019552299331698594,MW,163,W,0,0
M,B,0.034807846248748595,-0.05256731334915661,MB,164,B,0,1
F,W,-0.9822097503783999,-0.901802576019774,FW,165,W,0,0
M,W,0.04147157541428358,0.03183268349064589,MW,166,W,0,0
M,B,-0.0019194908632726546,-0.0787397608891313,MB,167,B,0,1
F,B,-0.9292264650899497,-0.9411948301960262,FB,168,B,0,1
M,B,-0.012020717855012696,-0.08744476321083214,MB,169,B,0,1
F,W,-1.0371773589129964,-0.9489529071984731,FW,170,W,0,0
M,W,-0.019134554143029538,-0.019129290975908902,MW,171,W,0,0
F,W,-1.0150972839352836,-0.9236399396339079,FW,172,W,0,0
F,W,-1.0079548664300597,-0.9256939530022584,FW,173,W,0,0
M,W,0.04050911626782829,0.030054208970595107,MW,174,W,0,0
M,B,-0.013696422413201917,-0.09366377091506925,MB,175,B,0,1
F,W,-0.9736066581793215,-0.9042377089969439,FW,176,W,0,0
M,W,-0.005665934149907459,-0.006438624069720216,MW,177,W,0,0
M,W,-0.013245939355650634,-0.007149330091711584,MW,178,W,0,0
M,W,-0.04068768381609553,-0.03472613034832006,MW,179,W,0,0
F,W,-0.988162524521009,-0.9145645748239835,FW,180,W,0,0
M,W,0.08990403583456603,0.07039330217529793,MW,181,W,0,0
M,W,0.0172484106642355,0.01060632886311359,MW,182,W,0,0
F,W,-1.0099609839804033,-0.9210584271314642,FW,183,W,0,0
F,B,-1.0067739955821815,-1.0037175501902236,FB,184,B,0,1
M,W,0.00837611339885319,0.0025260195572160086,MW,185,W,0,0
M,B,0.05031115642731542,-0.04149514739836936,MB,186,B,0,1
M,W,-0.03936456541308381,-0.033321612554425874,MW,187,W,0,0
M,B,0.04810985927303232,-0.04096751634158536,MB,188,B,0,1
M,W,0.012277608570798503,0.013837417675743943,MW,189,W,0,0
F,B,-0.9670247319040077,-0.974971375573102,FB,190,B,0,1
M,B,0.0023978009949138304,-0.08105288054082194,MB,191,B,0,1
M,W,0.00034878165510765383,0.006193123442505995,MW,192,W,0,0
F,B,-0.986396472906321,-0.9915350340875955,FB,193,B,0,1
F,B,-1.0306531907048888,-1.0300697009746849,FB,194,B,0,1
M,B,-0.000998122963685618,-0.07247464162553713,MB,195,B,0,1
F,B,-0.9846202969281624,-0.9837955883403704,FB,196,B,0,1
M,B,0.012603717052639294,-0.06231420395604564,MB,197,B,0,1
F,W,-0.9867127641938819,-0.9124204945141059,FW,198,W,0,0
F,W,-0.9933653667368147,-0.910780558119941,FW,199,W,0,0
M,W,0.020674848188766394,0.018942974758846588,MW,200,W,0,0
F,W,-0.943412997482619,-0.87617756528251,FW,201,W,0,0
M,W,-0.014287615355759096,-0.009788199719935126,MW,202,W,0,0
F,W,-1.0219135140387585,-0.9394979789864453,FW,203,W,0,0
M,B,-0.02654361329881493,-0.09991038016261922,MB,204,B,0,1
F,W,-1.0581535544313772,-0.9667540506022269,FW,205,W,0,0
M,W,-0.03822196330828381,-0.036536060770533535,MW,206,W,0,0
M,W,0.05896251479532444,0.06067434373175901,MW,207,W,0,0
M,B,-0.04469567708621207,-0.11369967401119246,MB,208,B,0,1
M,W,0.020360818499143726,0.01940626756711347,MW,209,W,0,0
M,W,-0.004837613178389963,-0.0020059399123126226,MW,210,W,0,0
M,W,0.0499126252426598,0.03443066243477509,MW,211,W,0,0
F,W,-1.0021449864795706,-0.9199567193460074,FW,212,W,0,0
F,W,-0.9839365825083223,-0.9100444918689454,FW,213,W,0,0
M,B,0.026562535535941012,-0.05662361677608416,MB,214,B,0,1
F,W,-0.9933153928970351,-0.9065795470824487,FW,215,W,0,0
F,B,-1.0091712810854636,-1.0055301342476959,FB,216,B,0,1
M,W,-0.037522780100201436,-0.03292586769080577,MW,217,W,0,0
M,B,-0.016054238498276016,-0.0913571140880637,MB,218,B,0,1
M,W,-0.037387496656925714,-0.033701523659540066,MW,219,W,0,0
F,B,-0.9665342678683719,-0.9813138629979496,FB,220,B,0,1
F,B,-0.9932295885224796,-0.9901636221535721,FB,221,B,0,1
F,W,-0.9956223738416724,-0.9185812380533435,FW,222,W,0,0
M,B,0.020851388576468198,-0.06016543614096069,MB,223,B,0,1
F,W,-1.0117306881696937,-0.9318053846241994,FW,224,W,0,0
M,B,-0.011990758640158057,-0.09027764237101227,MB,225,B,0,1
M,W,-0.059769943709546705,-0.05154276688655745,MW,226,W,0,0
M,B,0.004699947999704287,-0.08002805862061012,MB,227,B,0,1
M,W,0.05483370260299314,0.04303309557101936,MW,228,W,0,0
M,W,-0.028837805858093545,-0.02412077295814075,MW,229,W,0,0
F,B,-0.966417567356149,-0.9706387526206544,FB,230,B,0,1
F,W,-0.9918059224443749,-0.9133399561373559,FW,231,W,0,0
M,B,0.02420567324142461,-0.054439703711944745,MB,232,B,0,1
F,W,-0.9881006266642977,-0.9086493240105591,FW,233,W,0,0
M,W,-0.041891627346911535,-0.030924965967993337,MW,234,W,0,0
M,W,-0.07753380078022074,-0.06109034206133102,MW,235,W,0,0
F,B,-1.012846443892623,-1.008609593856535,FB,236,B,0,1
M,W,-0.014425375229977909,-0.011006091909412844,MW,237,W,0,0
M,W,0.03136750906966865,0.024337975458239475,MW,238,W,0,0
