G,R,X,Y,GR,UID
M,B,0.11421116676893515,-0.06823390254566256,MB,1
M,B,0.0921767461383084,-0.08525985478831492,MB,2
M,B,0.09140686820988352,-0.08848180541237591,MB,3
M,B,0.09615283378451518,-0.08124125271292199,MB,4
M,W,-0.014167648722414565,-0.008670392821401007,MW,5
F,B,-0.811877045202744,-0.9288836472531616,FB,6
M,W,-0.001725326090375445,-0.0005613163462980347,MW,7
M,W,0.003422755507203489,0.0022759294132723407,MW,8
F,W,-0.8884984883195403,-0.8300619888626276,FW,9
M,B,0.08032389385775053,-0.09749217290713964,MB,10
M,W,-0.00956718727251597,-0.008287648761727072,MW,11
M,W,-0.012407050262597086,-0.010486845224335633,MW,12
M,W,0.0004508880528544272,0.001380097372922816,MW,13
M,W,-0.006322272028656927,-0.0070122504229514285,MW,14
F,B,-0.811948287148901,-0.9280484819987079,FB,15
M,W,0.014943343896100502,0.00911196353725608,MW,16
F,W,-0.8872842684752733,-0.8297181121659469,FW,17
F,W,-0.906513547629982,-0.8451026225586857,FW,18
M,W,-0.009567777401119306,-0.006477276202747246,MW,19
M,B,0.09980499713997555,-0.0814773673834798,MB,20
M,W,0.01506905670710271,0.012193600079479665,MW,21
M,B,0.09536687456163603,-0.08391242629199726,MB,22
M,W,0.0004624858958438905,0.0001885839958204567,MW,23
M,W,0.002893357487565867,0.0011749445705567065,MW,24
F,B,-0.8260673491849598,-0.9408812192788283,FB,25
M,B,0.10696376402051415,-0.07146164508998241,MB,26
F,W,-0.9019499152048012,-0.8405345031840692,FW,27
M,W,0.00017781692176464456,-0.0008890580443769578,MW,28
M,B,0.09400766343759774,-0.08382691592798322,MB,29
F,W,-0.9124558285313089,-0.8503924009524028,FW,30
M,W,0.01086065966519505,0.007421566957828985,MW,31
F,W,-0.9037550174218418,-0.8445270427437677,FW,32
M,W,-0.006995371608326763,-0.005465438081520852,MW,33
M,B,0.09575118921271404,-0.08530296187544252,MB,34
M,B,0.10679561664665053,-0.0746981164840826,MB,35
M,W,0.007268834816934995,0.0062299936272744,MW,36
M,W,-0.0007192577081696787,0.0004432205048298982,MW,37
F,W,-0.8934027866714866,-0.8359059957610337,FW,38
F,W,-0.8977440080432934,-0.8367839150184706,FW,39
M,W,0.0018235702556020621,0.0009305760382031625,MW,40
M,W,-0.002825927948835525,0.0011316695679809336,MW,41
M,W,-0.008578804423140303,-0.006769553164344029,MW,42
M,W,0.00968942186028398,0.007897200500588515,MW,43
F,B,-0.8100286916252029,-0.9269229810220765,FB,44
F,B,-0.7895698050255433,-0.9098707931442787,FB,45
M,W,0.005581846536318671,0.005015257292192904,MW,46
F,B,-0.8074931091070184,-0.9272962557640911,FB,47
F,B,-0.8072692223999374,-0.9263784021347327,FB,48
M,B,0.10583382720835266,-0.0763490131075663,MB,49
M,W,-0.006321693260404593,-0.0013331147145955488,MW,50
M,B,0.0957994085992128,-0.08233989707092512,MB,51
M,B,0.11014121572519278,-0.07126262464742926,MB,52
F,B,-0.8065302965831613,-0.9242273996157337,FB,53
M,W,0.0072534047159646285,0.00853511523287459,MW,54
M,W,0.003230593048161758,0.003364365453329741,MW,55
M,B,0.11264500235042962,-0.07000072774440845,MB,56
F,W,-0.8997741805062844,-0.8377141773636555,FW,57
M,W,-0.0006674590703466888,0.0017528477715340312,MW,58
M,W,-0.0076724433809129645,-0.00569719225330465,MW,59
M,W,-0.007136205503634392,-0.00651849467865524,MW,60
F,B,-0.791850633090015,-0.9139810551651251,FB,61
F,B,-0.7922544989840007,-0.9127632231861371,FB,62
M,W,0.019227840336127844,0.01603265870242904,MW,63
F,W,-0.8931762671998561,-0.8349135165710914,FW,64
M,W,0.009497377838557529,0.005363154176611462,MW,65
F,W,-0.901121554093227,-0.843069904502522,FW,66
F,W,-0.8998717592056812,-0.839676722347017,FW,67
M,W,0.0026230869218709066,0.00192963247755949,MW,68
F,B,-0.786070480195389,-0.9067352967741065,FB,69
M,W,-0.002737431278293901,-0.004077484692448605,MW,70
F,B,-0.792456162638052,-0.9154509134747117,FB,71
M,B,0.10772590302882291,-0.07312437703983875,MB,72
F,W,-0.90915174908068,-0.8462225165325434,FW,73
M,B,0.11151844531849085,-0.07279396460065943,MB,74
M,B,0.09969202514470793,-0.08051995508680097,MB,75
M,B,0.08619899365250247,-0.09336952542240243,MB,76
F,W,-0.8939794632196044,-0.8372695178611317,FW,77
M,B,0.08115116001116619,-0.09587787918174173,MB,78
M,W,0.00654612732831077,0.0036480471786360133,MW,79
F,W,-0.8871985065462054,-0.8301745682769383,FW,80
F,W,-0.9027436928656589,-0.8415311140445053,FW,81
M,W,-0.005716294983256248,-0.00394537470813936,MW,82
M,B,0.09768262620606062,-0.08237066435070708,MB,83
M,W,0.011692585694081731,0.009214013739857318,MW,84
M,W,0.003483931242752405,0.0011187728545241837,MW,85
M,W,-0.012064561595335381,-0.009330968588730452,MW,86
F,W,-0.8961362948188704,-0.8351193903795654,FW,87
M,W,-0.008747450951659661,-0.007964093250293364,MW,88
M,W,0.005109463331756625,0.003410325279594875,MW,89
M,W,-0.009331094154249733,-0.007076660579383448,MW,90
M,B,0.0881676026855794,-0.0886995240160515,MB,91
M,W,0.008716788800936907,0.006284616498471531,MW,92
M,W,-0.010838584259387541,-0.007204213539719646,MW,93
M,W,-0.0006747767240236302,-0.00040628173173314037,MW,94
F,W,-0.902049036212837,-0.8408123759566999,FW,95
M,W,-0.009412397370021067,-0.006227132581854579,MW,96
M,B,0.09762303827588262,-0.08091747723930984,MB,97
M,W,0.008575106527418521,0.006580443652577928,MW,98
M,W,-0.005938341294292243,-0.004538759312820542,MW,99
M,B,0.11083666743836099,-0.07319694627926635,MB,100
M,B,0.08135160359384512,-0.0955945813729304,MB,101
M,B,0.10027252811742898,-0.08081270377666361,MB,102
F,W,-0.8979936224081586,-0.8408307612947747,FW,103
F,W,-0.895957424536114,-0.838180752310646,FW,104
M,W,0.009205554255466816,0.007162612395782788,MW,105
F,B,-0.7939385037339692,-0.9162287524896082,FB,106
